App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements
6103166,HDR,1/11/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103184,HDR,1/11/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103191,HDR,1/11/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103196,HDR,1/12/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103195,HDR,1/12/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103192,HDR,1/12/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103194,HDR,1/12/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103193,HDR,1/12/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103200,HDR,1/12/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103287,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103289,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103246,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103264,HDR,1/13/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103271,HDR,1/13/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103259,HDR,1/13/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103263,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed
6103260,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103265,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103299,HDR,1/13/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103280,HDR,1/13/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103233,HDR,1/13/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103293,HDR,1/13/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6103244,HDR,1/13/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103286,HDR,1/13/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103359,HDR,1/14/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103362,HDR,1/14/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103363,HDR,1/14/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103341,HDR,1/14/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103355,HDR,1/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103391,HDR,1/14/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6103338,HDR,1/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103399,HDR,1/14/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103384,HDR,1/14/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103398,HDR,1/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103365,HDR,1/14/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103302,HDR,1/14/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103303,HDR,1/14/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103354,HDR,1/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103333,HDR,1/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103357,HDR,1/14/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103347,HDR,1/14/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103382,HDR,1/14/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103349,HDR,1/14/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103454,HDR,1/15/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103435,VDR,1/15/2025,Approved - License Issued,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable
6103470,HDR,1/15/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103440,VDR,1/15/2025,Denied,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103426,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103461,HDR,1/15/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103415,HDR,1/15/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103429,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103445,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103469,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103458,HDR,1/15/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103417,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103431,HDR,1/15/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6103432,HDR,1/15/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103430,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103444,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103463,HDR,1/15/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103447,HDR,1/15/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103442,HDR,1/15/2025,Denied,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6103501,HDR,1/16/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103495,HDR,1/16/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103506,HDR,1/16/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103530,HDR,1/16/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103485,HDR,1/16/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103484,HDR,1/16/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103507,HDR,1/16/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103482,HDR,1/16/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103497,HDR,1/16/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103487,HDR,1/16/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103492,HDR,1/16/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103573,HDR,1/17/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103540,HDR,1/17/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103574,HDR,1/17/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103582,HDR,1/17/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103555,HDR,1/17/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103554,HDR,1/17/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103556,HDR,1/17/2025,Denied,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed
6103563,HDR,1/17/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103535,HDR,1/17/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information
6103558,HDR,1/17/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103534,HDR,1/17/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103587,HDR,1/17/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103544,HDR,1/17/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103536,HDR,1/17/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103621,HDR,1/18/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103593,HDR,1/18/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103619,HDR,1/18/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103631,HDR,1/19/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103627,HDR,1/19/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103641,HDR,1/19/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103640,HDR,1/19/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103637,HDR,1/19/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103626,HDR,1/19/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103633,HDR,1/19/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103693,HDR,1/20/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103657,HDR,1/20/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103684,HDR,1/20/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103671,HDR,1/20/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103646,HDR,1/20/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103682,HDR,1/20/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103664,HDR,1/20/2025,Denied,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed
6103669,HDR,1/20/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103666,HDR,1/20/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103677,HDR,1/20/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103692,HDR,1/20/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103691,HDR,1/20/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103656,HDR,1/20/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103688,HDR,1/20/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103661,HDR,1/20/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103670,HDR,1/20/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103662,HDR,1/20/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103694,HDR,1/20/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103648,HDR,1/20/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed
6103668,HDR,1/20/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103707,HDR,1/21/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103723,HDR,1/21/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103726,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103713,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103725,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103733,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed
6103695,HDR,1/21/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103701,HDR,1/21/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103696,HDR,1/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103714,HDR,1/21/2025,Denied,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed
6103716,HDR,1/21/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103767,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103731,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed
6103720,HDR,1/21/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103706,HDR,1/21/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103735,HDR,1/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103700,HDR,1/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103805,HDR,1/22/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103788,HDR,1/22/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103803,HDR,1/22/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103773,HDR,1/22/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103808,HDR,1/22/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103812,HDR,1/22/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103807,HDR,1/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103776,HDR,1/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103814,HDR,1/22/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103802,HDR,1/22/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103809,HDR,1/22/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103800,HDR,1/22/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103771,HDR,1/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103772,HDR,1/22/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103857,HDR,1/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103842,HDR,1/23/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103869,HDR,1/23/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103847,HDR,1/23/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103844,HDR,1/23/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103832,HDR,1/23/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103856,HDR,1/23/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103850,HDR,1/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103836,HDR,1/23/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103853,HDR,1/23/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed
6103861,HDR,1/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103871,HDR,1/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103893,HDR,1/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6103898,HDR,1/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6103892,HDR,1/24/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6103919,HDR,1/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6103906,HDR,1/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6103905,HDR,1/24/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103907,HDR,1/24/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103916,HDR,1/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed
6103900,HDR,1/24/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103896,HDR,1/24/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103890,HDR,1/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6103913,HDR,1/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6103939,HDR,1/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103957,HDR,1/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6103949,HDR,1/25/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103941,HDR,1/25/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed
6103955,HDR,1/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed
6103950,HDR,1/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103958,HDR,1/25/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103931,HDR,1/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103928,HDR,1/25/2025,Denied,4/1/2025,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed
6103924,HDR,1/25/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103930,HDR,1/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103947,HDR,1/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103970,HDR,1/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed
6103967,HDR,1/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable
6103959,HDR,1/26/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103966,HDR,1/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6103971,HDR,1/26/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6104012,HDR,1/27/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6104028,HDR,1/27/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed
6104015,HDR,1/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6104019,HDR,1/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6104025,HDR,1/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6104006,HDR,1/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
