OBJECTID,workclass,permitclass,proposedworkdescription,permitclassmapped,applieddate,issueddate,estprojectcost,constcompletedofficial,censuslanduse,censuslandusecode,contractorcompanyname,contractorcity,countylocation,description,expiresdate,fee,housingunitstotal,issueddate_mth,issueddate_yr,jurisdiction_inout_ral,latitude_perm,longitude_perm,originalzip,proposeduse,recordupdatedate,statuscurrent,statuscurrentmapped,workclassmapped,CreationDate,EditDate,permitnum
257916,Townhouse,102,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",Residential,2022/10/07 17:09:24.103+00,2024/08/15 20:27:07.757+00,439252.56,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",2025/12/16 15:43:40+00,4810,1,8,2024,Inside City Limits,35.77375092,-78.63335739,27601,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 15:43:53.660+00,Issued,Permit Issued,New,2022/11/23 23:01:16.604+00,2024/12/19 11:06:33.175+00,BLDR-055832-2022
257962,Townhouse,102,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",Residential,2022/10/07 17:09:24.103+00,2024/08/15 20:26:43.347+00,439252.56,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",2025/12/16 15:43:08+00,4810,1,8,2024,Inside City Limits,35.77379592,-78.63335739,27601,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 15:43:27.860+00,Issued,Permit Issued,New,2022/11/23 23:01:16.604+00,2024/12/19 11:06:33.175+00,BLDR-055831-2022
258057,Townhouse,102,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",Residential,2022/10/07 17:09:24.103+00,2024/08/15 20:26:58.363+00,439252.56,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,"New townhome, northern block, units 101-105 SPR-0090-2022 5-B CONST R-3 OCC 3 STORY
BLDR-051189-2022",2025/12/16 15:42:35+00,4810,1,8,2024,Inside City Limits,35.77384092,-78.63335739,27601,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 15:42:52.643+00,Issued,Permit Issued,New,2022/11/23 23:01:16.604+00,2024/12/19 11:06:33.175+00,BLDR-055830-2022
259338,Awning/Canopy,328,2-B CONST U OCC 876 SF REMOVE THE EXISTING 6000GAL UNDERGROUND FUEL STORAGE TANKS AND OLD CANOPY. RE,Non-Residential,2023/02/14 11:11:09+00,2024/11/06 16:16:14.813+00,65498.52,No,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",328,JF Petroleum Group,Morrisville,Wake,2-B CONST U OCC 876 SF REMOVE THE EXISTING 6000GAL UNDERGROUND FUEL STORAGE TANKS AND OLD CANOPY. RE,2025/12/19 11:31:50+00,169,0,11,2024,Inside City Limits,35.77771993,-78.73255086,27606,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",2024/12/19 11:32:04.127+00,Issued,Permit Issued,Existing,2023/02/22 23:02:14.110+00,2024/12/22 11:06:50.841+00,BLDNR-006649-2023
259369,Addition,434,"ADDITION-
Addition to consist of constructing a  new two story addition include a Master Bedroom, Ma",Residential,2023/02/15 22:36:58.237+00,2024/12/02 12:27:19.620+00,171073.32,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"SIGMA GENERAL CONTRACTING, LLC",,,"ADDITION-
Addition to consist of constructing a  new two story addition include a Master Bedroom, Ma",2025/12/19 11:32:20+00,1329,1,12,2024,Outside City Limits,35.82012791,-78.56180291,27604, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/19 11:32:30.963+00,Issued,Permit Issued,New,2023/02/22 23:02:14.110+00,2024/12/22 11:06:50.841+00,BLDR-007041-2023
259433,Alteration/Repairs ,437,"LEGENDS NIGHTCLUB EXISTING A-3 BUILDING; TYPE III CONST, 9647sf TBR,  includes all new finishes, fix",Non-Residential,2023/02/14 08:13:40+00,2024/12/02 17:49:57.390+00,1190922.15,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"Benjamin Hale Builders, Inc.",,Wake,"LEGENDS NIGHTCLUB EXISTING A-3 BUILDING; TYPE III CONST, 9647sf TBR,  includes all new finishes, fix",2026/01/07 11:47:08+00,6202,0,12,2024,Inside City Limits,35.77459692,-78.64437789,27601,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2025/01/07 11:50:21.683+00,Issued,Permit Issued,Existing,2023/02/22 23:02:14.110+00,2025/01/10 11:06:35.222+00,BLDNR-006533-2023
259889,New Single Family Dwelling,101,"New Single Family Dwelling 
Custom Dwelling
Coley Forest North, Lot 16
DEMO-009493-2023/Finaled 5/26",Residential,2023/03/17 16:19:10.173+00,2024/10/29 22:32:23.440+00,1429657.08,No, DETACHED SINGLE FAMILY DWELLING,101,JOHN C SANDERS & COMPANY,,,"New Single Family Dwelling 
Custom Dwelling
Coley Forest North, Lot 16
DEMO-009493-2023/Finaled 5/26",2025/04/27 00:00:00+00,8538,1,10,2024,Inside City Limits,35.82365591,-78.66995588,27612, DETACHED SINGLE FAMILY DWELLING,2024/11/13 09:22:30.140+00,Complete,Permit Finaled,New,2023/03/30 22:01:41.028+00,2024/11/16 11:06:43.282+00,BLDR-012690-2023
260512,Alteration/Repairs ,0,R M Ferguson Funeral Service . New funeral service with crematory. ina existing building  3772 sf mi,Non-Residential,2023/04/11 12:11:26+00,2024/10/03 14:08:11.723+00,449945.94,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,JOHLCO,,Wake,R M Ferguson Funeral Service . New funeral service with crematory. ina existing building  3772 sf mi,2025/12/30 12:49:54+00,1404,0,10,2024,Inside City Limits,35.81935391,-78.5897884,27604,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/12/30 12:51:18.390+00,Issued,Permit Issued,Existing,2023/04/18 22:01:23.816+00,2025/01/02 11:06:38.820+00,BLDNR-017140-2023
260515,New Residential Dwelling,101,"New Single Family Dwelling
Farris Court, Lot 1
Custom Home
Crawl Space Foundation
Covered Deck",Residential,2023/04/13 15:22:58.277+00,2024/09/11 20:55:56.653+00,262995.2,No, DETACHED SINGLE FAMILY DWELLING,101,ABODE DESIGN-BUILD LLC,Raleigh,,"New Single Family Dwelling
Farris Court, Lot 1
Custom Home
Crawl Space Foundation
Covered Deck",2025/12/30 13:51:16+00,5177,1,9,2024,Inside City Limits,35.77957392,-78.6024154,27610, DETACHED SINGLE FAMILY DWELLING,2024/12/30 13:51:25.253+00,Issued,Permit Issued,Existing,2023/04/18 22:01:23.816+00,2025/01/02 11:06:38.820+00,BLDR-017749-2023
260580,New Residential Dwelling,101,"New Single Family Dwelling
Farris Court, Lot 2
Custom Home
Crawl Space Foundation
Covered Patio",Residential,2023/04/14 10:57:14.423+00,2024/08/21 23:09:18.267+00,270581.6,No, DETACHED SINGLE FAMILY DWELLING,101,ABODE DESIGN-BUILD LLC,Raleigh,,"New Single Family Dwelling
Farris Court, Lot 2
Custom Home
Crawl Space Foundation
Covered Patio",2025/12/30 13:57:28+00,5559,1,8,2024,Inside City Limits,35.77910592,-78.6024064,27610, DETACHED SINGLE FAMILY DWELLING,2024/12/30 13:57:37.543+00,Issued,Permit Issued,Existing,2023/04/18 22:01:23.816+00,2025/01/02 11:06:38.820+00,BLDR-017839-2023
260706,Deck/Porch,434,Replace old deck with new screen porch,Residential,2024/07/01 12:10:03+00,2024/09/13 18:33:48.887+00,15000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Blankenship Contracting and Construction LLC,,,Replace old deck with new screen porch,2025/11/25 15:28:15+00,703,1,9,2024,Inside City Limits,35.76410292,-78.6016549,27610, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/26 09:37:27.637+00,Complete,Permit Finaled,Existing,2023/05/05 22:01:45.751+00,2024/11/29 11:07:04.287+00,BLDR-021826-2023
260992,Accessory Structure,0,40 x 20 Pergola,Residential,2024/07/01 20:45:51+00,2024/12/14 15:53:45.860+00,40520,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,,,,40 x 20 Pergola,2025/06/12 00:00:00+00,461,0,12,2024,Inside City Limits,35.75455392,-78.56456591,27610, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/14 15:53:45.860+00,Issued,Permit Issued,New,2023/05/22 22:01:46.209+00,2024/12/17 11:06:44.186+00,BLDR-024143-2023
261251,Alteration/Repairs ,437,Installation of inclined plate settlers and sludge vacuum systems in both the North/South clarifiers,Non-Residential,2023/05/18 10:52:17+00,2024/12/03 20:28:19.583+00,13456.8,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,English Construction,raleigh,Wake,Installation of inclined plate settlers and sludge vacuum systems in both the North/South clarifiers,2025/06/01 00:00:00+00,176,0,12,2024,Inside City Limits,35.91490689,-78.5971054,27614,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/12/03 15:28:29.990+00,Issued,Permit Issued,Existing,2023/05/26 22:02:00.618+00,2024/12/06 11:06:12.977+00,BLDNR-024580-2023
261499,New Single Family Dwelling,101,Converting Above Garage into ADU unit,Residential,2023/05/30 10:23:35.370+00,2024/11/05 17:47:55.123+00,188395.6,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,,,Wake,Converting Above Garage into ADU unit,2025/05/04 00:00:00+00,1980,1,11,2024,Inside City Limits,35.79273192,-78.71611237,27606, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/06 14:54:26.487+00,Issued,Permit Issued,New,2023/06/02 22:01:48.045+00,2024/11/09 11:06:35.387+00,BLDR-026465-2023
261700,Addition,434,"ADDITION-
Addition to consist of  a new Master Bathroom and Master Closet.  

MIN BUILDING-
New Rear",Residential,2023/06/12 21:48:52.230+00,2024/10/23 15:03:19.713+00,16942.96,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,RMRZ Murrell LLC T/A ZoRic Custom Builders,,,"ADDITION-
Addition to consist of  a new Master Bathroom and Master Closet.  

MIN BUILDING-
New Rear",2025/04/21 00:00:00+00,526,1,10,2024,Inside City Limits,35.83837991,-78.70951987,27610, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/23 15:03:19.713+00,Issued,Permit Issued,New,2023/06/22 22:02:27.369+00,2024/10/26 11:07:27.112+00,BLDR-029012-2023
261812,New Building ,0,"NEW 4 UNIT APARTMENT BLDG
(DEMO-029269-2023) FOR EXISTING DUPLEX",Non-Residential,2023/06/15 15:23:28+00,2024/12/02 20:36:47.183+00,556968.2,No,"	 THREE OR FOUR FAMILY BUILDING",104,"Barker Contruction Group, Inc",Raleigh,Wake,"NEW 4 UNIT APARTMENT BLDG
(DEMO-029269-2023) FOR EXISTING DUPLEX",2025/12/09 13:19:48+00,15261,,12,2024,Inside City Limits,35.77968192,-78.68862188,27606,"	 THREE OR FOUR FAMILY BUILDING",2024/12/09 14:02:57.740+00,Issued,Permit Issued,Existing,2023/06/22 22:02:27.369+00,2024/12/12 18:57:00.252+00,BLDNR-029880-2023
262334,New Building ,0,Affordable Housing Project - Bldg. Type A - Apartment #1- project consists of 156 family apartments ,Non-Residential,2023/12/21 12:18:43+00,2024/11/26 18:07:13.173+00,6236696.46,No, FIVE OR MORE FAMILY BUILDING,105,"WEAVER COOKE CONSTRUCTION, LLC",,Wake,Affordable Housing Project - Bldg. Type A - Apartment #1- project consists of 156 family apartments ,2025/05/25 00:00:00+00,79085,,11,2024,Inside City Limits,35.8870519,-78.5859634,27615, FIVE OR MORE FAMILY BUILDING,2024/11/26 13:07:17.987+00,Issued,Permit Issued,Existing,2023/07/31 22:01:41.705+00,2024/11/29 11:07:04.287+00,BLDNR-035589-2023
262336,New Single Family Dwelling,101,"New Single Family Dwelling
Creekmoore, Elevation C
Pine Hollow, Lot 5
Crawl Space Foundation
Screen ",Residential,2023/07/19 09:56:29.043+00,2024/10/30 11:19:07.723+00,712780.32,No, DETACHED SINGLE FAMILY DWELLING,101,SHENANDOAH HOMES LLC,RALEIGH,,"New Single Family Dwelling
Creekmoore, Elevation C
Pine Hollow, Lot 5
Crawl Space Foundation
Screen ",2025/04/28 00:00:00+00,8304,1,10,2024,Inside City Limits,35.9056009,-78.71900136,27613, DETACHED SINGLE FAMILY DWELLING,2024/10/31 01:07:04.473+00,Issued,Permit Issued,New,2023/07/31 22:01:41.705+00,2024/11/01 11:06:37.533+00,BLDR-035839-2023
262452,Addition,0,"Addition to existing permit #bldr-061578-2022. 
ADDITION- Approximately 176sqft
Addition to the rear",Residential,2024/07/01 06:50:56+00,2024/08/27 16:39:07.110+00,25539.36,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,W CONSTRUCTION INC,Clayton,,"Addition to existing permit #bldr-061578-2022. 
ADDITION- Approximately 176sqft
Addition to the rear",2025/10/07 14:40:19+00,654,1,8,2024,Inside City Limits,35.8974289,-78.81686733,27605, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/07 14:40:29.307+00,Complete,Permit Finaled,New,2023/07/31 22:01:41.705+00,2024/10/10 11:07:26.513+00,BLDR-036086-2023
262889,Townhouse,102,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,Residential,2023/08/18 15:02:28.257+00,2024/11/06 19:25:46.973+00,419513.01,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,2025/05/05 00:00:00+00,5019,1,11,2024,Inside City Limits,35.80069692,-78.65919638,27608,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 02:05:27.703+00,Issued,Permit Issued,New,2023/08/31 15:46:33.990+00,2024/11/09 11:06:35.387+00,BLDR-042498-2023
263144,Townhouse,102,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,Residential,2023/08/18 15:02:28.257+00,2024/11/06 19:25:54.263+00,428800.05,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,2025/05/05 00:00:00+00,5068,1,11,2024,Inside City Limits,35.80065192,-78.65922338,27608,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 02:05:30.680+00,Issued,Permit Issued,New,2023/08/31 15:46:33.990+00,2024/11/09 11:06:35.387+00,BLDR-042497-2023
263193,Townhouse,102,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,Residential,2023/08/18 15:02:28.257+00,2024/11/06 19:25:34.553+00,417626.58,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,2025/05/05 00:00:00+00,5010,1,11,2024,Inside City Limits,35.80059792,-78.65923238,27608,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 02:05:24.913+00,Issued,Permit Issued,New,2023/08/31 15:46:33.990+00,2024/11/09 11:06:35.387+00,BLDR-042496-2023
263199,Townhouse,102,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,Residential,2023/08/18 15:02:28.257+00,2024/11/06 19:26:02.583+00,391071.45,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,2025/05/05 00:00:00+00,4871,1,11,2024,Inside City Limits,35.80075092,-78.65917388,27608,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 02:05:33.753+00,Issued,Permit Issued,New,2023/08/31 15:46:33.990+00,2024/11/09 11:06:35.387+00,BLDR-042499-2023
263212,Addition,434,"Project consists of: converting existing garage into a rec room, half bath and pantry. Add a new 2-c",Residential,2024/07/01 21:07:52+00,2024/10/22 01:08:44.317+00,240231.56,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,RALEIGH HOME IMPROVEMENTS,,Wake,"Project consists of: converting existing garage into a rec room, half bath and pantry. Add a new 2-c",2025/04/20 00:00:00+00,1862,,10,2024,Outside City Limits,35.8454719,-78.55931441,27616, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/22 01:08:44.317+00,Issued,Permit Issued,New,2023/08/31 15:46:33.990+00,2024/10/24 11:06:44.368+00,BLDR-042085-2023
263226,Townhouse,102,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,Residential,2023/08/18 15:02:28.257+00,2024/11/06 19:25:27.017+00,426623.4,No,"	 RESIDENTIAL TOWNHOUSE",102,"Concept 8, LLC",Apex,Wake,Lots 6-11 SPR-0206-2022 5-B CONST R-3 OCC 3 STORY W/ROOF DECK NO STRUCTURE OTHER THAN STAIR TOWER AL,2025/05/05 00:00:00+00,5057,1,11,2024,Inside City Limits,35.80055292,-78.65923238,27608,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 02:05:22.343+00,Issued,Permit Issued,New,2023/08/31 15:46:33.990+00,2024/11/09 11:06:35.387+00,BLDR-042495-2023
263244,New Building ,0,"GARAGE#1  - Plan pages 152-170
ASSOCIATED CASES:
MAIN CASE# BLDNR-043768-2023-BLDG 1
BLDNR-043786-20",Non-Residential,2023/08/31 11:39:22+00,2025/01/05 17:12:46.920+00,88189.2,No,"	 RESIDENTIAL GARAGE OR CARPORT",438,COMET BUILDERS LLC,Greensboro,Wake,"GARAGE#1  - Plan pages 152-170
ASSOCIATED CASES:
MAIN CASE# BLDNR-043768-2023-BLDG 1
BLDNR-043786-20",2025/07/04 00:00:00+00,601,,1,2025,Inside City Limits,35.89903989,-78.50219593,27587,"	 RESIDENTIAL GARAGE OR CARPORT",2025/01/05 17:12:46.920+00,Issued,Permit Issued,Existing,2023/09/11 22:01:25.758+00,2025/01/08 11:06:19.974+00,BLDNR-043784-2023
263252,New Building ,0,"BUILDING 1 - 56 UNITS V-A NFPA 13-R R-2 and S-2 accessory area 4 story
MAIN CASE# BLDNR-043768-2023-",Non-Residential,2023/08/31 11:39:22+00,2025/01/06 19:49:53.543+00,8043695.24,No, FIVE OR MORE FAMILY BUILDING,105,COMET BUILDERS LLC,Greensboro,Wake,"BUILDING 1 - 56 UNITS V-A NFPA 13-R R-2 and S-2 accessory area 4 story
MAIN CASE# BLDNR-043768-2023-",2025/07/05 00:00:00+00,172080,,1,2025,Inside City Limits,35.89816689,-78.50316343,27587, FIVE OR MORE FAMILY BUILDING,2025/01/16 11:49:18.447+00,Issued,Permit Issued,Existing,2023/09/11 22:01:25.758+00,2025/01/19 11:06:06.756+00,BLDNR-043768-2023
263277,New Building ,0,"GARAGE #2 -  Plan pages 152-170
ASSOCIATED CASES:
MAIN CASE# BLDNR-043768-2023-BLDG 1
BLDNR-043786-2",Non-Residential,2023/08/31 11:39:22+00,2025/01/05 17:12:54.230+00,83001.6,No,"	 RESIDENTIAL GARAGE OR CARPORT",438,COMET BUILDERS LLC,Greensboro,Wake,"GARAGE #2 -  Plan pages 152-170
ASSOCIATED CASES:
MAIN CASE# BLDNR-043768-2023-BLDG 1
BLDNR-043786-2",2025/07/04 00:00:00+00,584,,1,2025,Inside City Limits,35.89936389,-78.50032393,27587,"	 RESIDENTIAL GARAGE OR CARPORT",2025/01/05 17:12:54.230+00,Issued,Permit Issued,Existing,2023/09/11 22:01:25.758+00,2025/01/08 11:06:19.974+00,BLDNR-043785-2023
