Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
Kale,Fresh,3.4338,per pound,1.05,0.2866,pounds,0.9373
Kale,Frozen,2.2983,per pound,0.8995,0.3638,pounds,0.9295
Kidney beans,Canned,1.1208,per pound,0.65,0.3858,pounds,0.6652
Kidney beans,Dried,1.9176,per pound,2.4692,0.3858,pounds,0.2996
Lentils,Dried,1.8390,per pound,2.4692,0.3858,pounds,0.2873
"Lettuce, iceberg",Fresh,1.2512,per pound,0.95,0.2425,pounds,0.3194
"Lettuce, romaine, heads",Fresh,2.3074,per pound,0.94,0.2094,pounds,0.5141
"Lettuce, romaine, hearts",Fresh,3.2802,per pound,0.85,0.2094,pounds,0.8082
Lima beans,Canned,1.4785,per pound,0.65,0.3748,pounds,0.8525
Lima beans,Frozen,2.4401,per pound,1.097,0.3748,pounds,0.8336
Lima beans,Dried,2.3933,per pound,2.5397,0.3858,pounds,0.3636
"Mixed vegetables, peas & carrots",Canned,1.4754,per pound,0.65,0.3392,pounds,0.7699
"Mixed vegetables, peas & carrots",Frozen,1.8433,per pound,0.99,0.3392,pounds,0.6315
"Mixed vegetables, carrots, peas, corn, green beans",Frozen,1.7859,per pound,0.97,0.3340,pounds,0.6150
"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,2.1538,per pound,0.97,0.3105,pounds,0.6895
"Mushrooms, whole",Fresh,3.8929,per pound,0.97,0.1543,pounds,0.6194
"Mushrooms, sliced",Fresh,3.9224,per pound,1,0.1543,pounds,0.6053
Mustard greens,Canned,1.3367,per pound,0.65,0.3307,pounds,0.6800
Mustard greens,Frozen,2.4324,per pound,0.7478,0.3307,pounds,1.0756
Navy beans,Canned,1.2738,per pound,0.65,0.3858,pounds,0.7561
Navy beans,Dried,1.6073,per pound,2.4692,0.3858,pounds,0.2511
Okra,Fresh,5.1567,per pound,0.7695,0.3527,pounds,2.3639
Okra,Frozen,2.2528,per pound,0.8995,0.3748,pounds,0.9387
Olives,Canned,5.3496,per pound,1,0.2976,pounds,1.5922
Onions,Fresh,1.1062,per pound,0.9,0.3527,pounds,0.4335
Pinto beans,Canned,1.1189,per pound,0.65,0.3858,pounds,0.6641
Pinto beans,Dried,1.4173,per pound,2.4692,0.3858,pounds,0.2215
Potatoes,Fresh,0.8166,per pound,0.8113,0.2646,pounds,0.2663
"Potatoes, french fries",Frozen,1.9018,per pound,0.776,0.3417,pounds,0.8374
Potatoes,Canned,1.0266,per pound,0.65,0.3417,pounds,0.5397
Pumpkin,Canned,1.8642,per pound,1,0.5401,pounds,1.0069
Radish,Fresh,1.8126,per pound,0.9,0.2756,pounds,0.5550
Red peppers,Fresh,1.8742,per pound,0.82,0.2646,pounds,0.6047
"Spinach, boiled",Fresh,4.1214,per pound,0.77,0.3307,pounds,1.7700
"Spinach, eaten raw",Fresh,4.1214,per pound,1,0.1543,pounds,0.6360
Spinach,Canned,1.5676,per pound,0.65,0.3748,pounds,0.9039
Spinach,Frozen,2.2796,per pound,0.776,0.3748,pounds,1.1010
Sweet potatoes,Fresh,1.1565,per pound,0.8818,0.4409,pounds,0.5782
"Tomatoes, grape & cherry",Fresh,3.8729,per pound,0.91,0.3748,pounds,1.5950
"Tomatoes, roma & plum",Fresh,1.2453,per pound,0.91,0.3748,pounds,0.5129
"Tomatoes, large round",Fresh,2.1868,per pound,0.91,0.3748,pounds,0.9006
Tomatoes,Canned,1.0715,per pound,1,0.5401,pounds,0.5787
Turnip greens,Fresh,2.9250,per pound,0.75,0.3197,pounds,1.2467
Turnip greens,Canned,1.3154,per pound,0.65,0.3527,pounds,0.7138
Turnip greens,Frozen,2.5169,per pound,0.776,0.3527,pounds,1.1440
Zucchini,Fresh,1.6359,per pound,0.7695,0.3968,pounds,0.8437
