quadrat,project_year,year,month,species_code,count,notes
A2,1933,1933,10,MUSQ3,3,NA
A2,1935,1935,5,BAMU,1,NA
A2,1935,1935,5,DIWI2,1,NA
A2,1935,1935,5,LIAU4,3,NA
A2,1935,1935,10,ARAD,3,NA
A2,1935,1935,10,BAMU,1,NA
A2,1935,1935,10,HYFL,5,NA
A2,1935,1935,10,LIAU4,5,NA
A2,1935,1935,10,MOCE,20,NA
A2,1935,1935,10,MUSQ3,1,NA
A2,1935,1935,10,PORTU,13,NA
A2,1935,1935,10,TILA2,1,NA
A2,1935,1935,10,TRTE,1,NA
A2,1936,1936,10,ARAD,6,NA
A2,1936,1936,10,BAMU,2,NA
A2,1936,1936,10,HOHU,1,NA
A2,1936,1936,10,HYFL,4,NA
A2,1936,1936,10,PORTU,2,NA
A2,1936,1936,10,TILA2,1,NA
A2,1937,1937,10,ARAD,4,NA
A2,1937,1937,10,BAMU,2,NA
A2,1937,1937,10,HYFL,1,NA
A2,1937,1937,10,LIAU4,1,NA
A2,1937,1937,10,PORTU,2,NA
A2,1937,1937,10,TILA2,2,NA
A2,1938,1938,9,ARAD,9,NA
A2,1938,1938,9,ASNU4,1,NA
A2,1938,1938,9,BOSP,1,NA
A2,1938,1938,9,PORTU,17,NA
A2,1938,1938,9,TILA2,11,NA
A2,1939,1940,1,BAMU,6,NA
A2,1939,1940,1,LIAU4,3,NA
A2,1941,1942,1,HYFL,1,NA
A2,1941,1942,1,LIAU4,2,NA
A2,1942,1942,10,BAMU,1,NA
A2,1942,1942,10,HYFL,3,NA
A2,1944,1944,9,BAMU,2,NA
A2,1945,1945,9,BAMU,5,NA
A2,1958,1958,9,BAMU,1,NA
A2,1958,1958,9,DIWI2,1,NA
A2,1961,1961,9,COAM8,2,NA
A2,1968,1968,8,DIWI2,2,NA
A2,1995,1995,10,ERAN4,29,NA
A2,2001,2001,10,LIAU4,2,NA
A2,2006,2006,11,BAMU,1,NA
A2,2006,2006,11,BOBA2,1,NA
A2,2006,2006,11,DIWI2,9,NA
A2,2006,2006,11,POPI3,3,NA
A2,2006,2006,11,TILA2,2,NA
A2,2016,2016,11,BOBA2,17,NA
A2,2016,2016,11,DIWI2,1,NA
A2,2016,2016,11,LIAU4,1,NA
A2,2016,2016,11,TILA2,2,NA
A3,1917,1917,6,LIAU4,1,NA
A3,1918,1918,9,TILA2,1,NA
A3,1920,1920,10,TILA2,1,NA
A3,1925,1925,10,PORTU,3,NA
A3,1926,1926,9,APRA,5,NA
A3,1926,1926,9,ARAD,1,NA
A3,1926,1926,9,DIWI2,1,NA
A3,1926,1926,9,LIAU4,6,NA
A3,1926,1926,9,NAHI,1,NA
A3,1931,1931,9,TILA2,1,NA
A3,1934,1934,10,BAMU,1,NA
A3,1935,1935,10,MOCE,6,NA
A3,1935,1935,10,NAHI,14,NA
A3,1935,1935,10,PORTU,6,NA
A3,1936,1936,10,ARAD,4,NA
A3,1936,1936,10,PORTU,3,NA
A3,1936,1936,10,TILA2,1,NA
A3,1938,1938,9,PORTU,9,NA
A3,1951,1951,8,LIAU4,3,NA
A3,1952,1952,9,GUSP,1,NA
A3,1953,1953,9,COAM8,2,NA
A3,1953,1953,9,TILA2,1,NA
A3,1955,1955,9,LIAU4,3,NA
A3,1955,1955,9,SATR12,4,NA
A3,1968,1968,8,CHIN2,47,NA
A3,1968,1968,8,COAM8,9,NA
A3,1968,1968,8,SATR12,15,NA
A3,1969,1969,9,BOSP,1,NA
A3,1969,1969,9,PORTU,9,NA
A3,1969,1969,9,SATR12,4,NA
A3,1969,1969,9,TILA2,12,NA
A3,1976,1976,7,APRA,1,NA
A3,1976,1976,7,LIAU4,1,NA
A3,1995,1995,10,APRA,1,NA
A3,1995,1995,10,CHIN2,6,NA
A3,1995,1995,10,DIWI2,5,NA
A3,1995,1995,10,ERAB2,4,NA
A3,1995,1995,10,ERAN4,6,NA
A3,2006,2006,11,BOBA2,1,NA
A3,2006,2006,11,DEPI,5,NA
A3,2006,2006,11,NAHI,4,NA
A3,2006,2006,11,TILA2,14,NA
A3,2006,2006,11,UNKAF,1,NA
A3,2011,2011,11,CHSE7,2,NA
A3,2011,2011,11,TILA2,24,NA
A3,2016,2016,11,BOBA2,3,NA
A4,1915,1915,6,ERBE2,1,NA
A4,1915,1915,6,LIAU4,1,NA
A4,1916,1916,9,ARAD,1,NA
A4,1917,1917,6,HYFL,5,NA
A4,1917,1917,6,HYOD,2,NA
A4,1917,1917,9,ARAD,5,NA
A4,1917,1917,9,ASNU4,1,NA
A4,1917,1917,9,HYFL,4,NA
A4,1917,1917,9,HYOD,2,NA
A4,1917,1917,9,PORTU,1,NA
A4,1917,1917,9,TILA2,1,NA
A4,1918,1918,9,KAHI,3,NA
A4,1918,1918,9,PAHI5,4,NA
A4,1918,1918,9,PORTU,3,NA
A4,1919,1919,7,HYFL,2,NA
A4,1919,1919,7,LIAU4,3,NA
A4,1920,1920,10,HYFL,3,NA
A4,1923,1923,10,ARAD,1,NA
A4,1923,1923,10,ASNU4,2,NA
A4,1923,1923,10,PAHI5,1,NA
A4,1923,1923,10,PORTU,6,NA
A4,1923,1923,10,TILA2,2,NA
A4,1925,1925,10,ARAD,14,NA
A4,1925,1925,10,BOSP,2,NA
A4,1925,1925,10,PAHI5,8,NA
A4,1925,1925,10,PORTU,4,NA
A4,1925,1925,10,TILA2,1,NA
A4,1925,1925,10,TRTE,1,NA
A4,1926,1926,9,APRA,22,NA
A4,1926,1926,9,ARAD,22,NA
A4,1926,1926,9,HYFL,1,NA
A4,1926,1926,9,LIAU4,2,NA
A4,1926,1926,9,NAHI,10,NA
A4,1926,1926,9,PAHI5,2,NA
A4,1927,1927,9,BOSP,3,NA
A4,1927,1927,9,PORTU,6,NA
A4,1934,1934,10,ASNU4,3,NA
A4,1934,1934,10,PAHI5,4,NA
A4,1935,1935,5,ASNU4,1,NA
A4,1935,1935,10,HYFL,1,NA
A4,1935,1935,10,MOCE,23,NA
A4,1935,1935,10,NAHI,1,NA
A4,1935,1935,10,PAHI5,11,NA
A4,1935,1935,10,PORTU,2,NA
A4,1936,1936,10,PAHI5,27,NA
A4,1936,1936,10,PORTU,29,NA
A4,1936,1936,10,TILA2,2,NA
A4,1937,1937,10,ASNU4,1,NA
A4,1937,1937,10,PAHI5,1,NA
A4,1937,1937,10,TRTE,1,NA
A4,1938,1938,9,ARAD,2,NA
A4,1938,1938,9,ASNU4,2,NA
A4,1938,1938,9,PAHI5,2,NA
A4,1938,1938,9,PORTU,19,NA
A4,1945,1945,9,APRA,1,NA
A4,1951,1951,8,CHIN2,1,NA
A4,1952,1952,9,CHIN2,1,NA
A4,1957,1957,8,SATR12,1,NA
A4,1959,1959,9,PAHI5,1,NA
A4,1961,1961,9,CHIN2,5,NA
A4,1961,1961,9,TILA2,1,NA
A4,1966,1966,10,TILA2,3,NA
A4,1968,1968,8,SATR12,9,NA
A4,1969,1969,9,TILA2,19,NA
A4,1970,1970,8,COAM8,7,NA
A4,1970,1970,8,SATR12,1,NA
A4,1995,1995,10,CHIN2,1,NA
A4,2001,2001,10,ERAB2,3,NA
A4,2006,2006,11,CRYPT,7,NA
A4,2006,2006,11,DEPI,50,1
A4,2006,2006,11,NAHI,6,NA
A4,2006,2006,11,PECTI,2,NA
A4,2006,2006,11,UNKAF1,2,NA
A4,2006,2006,11,UNKAF2,7,NA
A4,2016,2016,11,BOBA2,3,NA
A5,1917,1917,6,DIWI2,1,NA
A5,1917,1917,6,HYFL,3,NA
A5,1917,1917,6,LIAU4,4,NA
A5,1917,1917,9,ARAD,1,NA
A5,1917,1917,9,LIAU4,1,NA
A5,1917,1917,9,PAHI5,6,NA
A5,1917,1917,9,PORTU,1,NA
A5,1918,1918,9,KAHI,8,NA
A5,1918,1918,9,PAHI5,27,NA
A5,1918,1918,9,TILA2,1,NA
A5,1919,1919,7,BAMU,3,NA
A5,1919,1919,7,HYFL,3,NA
A5,1919,1919,7,LIAU4,8,NA
A5,1919,1919,7,NAHI,1,NA
A5,1919,1919,7,TILA2,1,NA
A5,1920,1920,10,ARAD,1,NA
A5,1920,1920,10,TILA2,1,NA
A5,1923,1923,10,APRA,1,NA
A5,1923,1923,10,ASNU4,3,NA
A5,1923,1923,10,CRCR3,6,NA
A5,1923,1923,10,PAHI5,14,NA
A5,1923,1923,10,PORTU,4,NA
A5,1923,1923,10,TILA2,3,NA
A5,1925,1925,10,ARAD,1,NA
A5,1925,1925,10,PAHI5,33,NA
A5,1925,1925,10,PORTU,18,NA
A5,1925,1925,10,TILA2,1,NA
A5,1926,1926,9,APRA,6,NA
A5,1926,1926,9,ARAD,2,NA
A5,1926,1926,9,NAHI,9,NA
A5,1927,1927,9,BOSP,1,NA
A5,1927,1927,9,PORTU,1,NA
A5,1929,1929,9,BAMU,1,NA
A5,1934,1934,10,ASNU4,18,NA
A5,1934,1934,10,PAHI5,14,NA
A5,1935,1935,5,APRA,2,NA
A5,1935,1935,5,ASNU4,1,NA
A5,1935,1935,10,MOCE,6,NA
A5,1935,1935,10,PAHI5,47,NA
A5,1935,1935,10,PORTU,1,NA
A5,1936,1936,10,APRA,6,NA
A5,1936,1936,10,PAHI5,23,NA
A5,1936,1936,10,PORTU,1,NA
A5,1937,1937,10,PAHI5,1,NA
A5,1938,1938,9,PORTU,4,NA
A5,1945,1945,9,APRA,1,NA
A5,1945,1945,9,DIWI2,1,NA
A5,1959,1959,9,DIWI2,1,NA
A5,1959,1959,9,TILA2,1,NA
A5,1961,1961,9,KAHI,1,NA
A5,1961,1961,9,TILA2,1,NA
A5,1966,1966,10,TILA2,3,NA
A5,1968,1968,8,SATR12,22,NA
A5,1995,1995,10,ERAB2,1,NA
A5,2001,2001,10,ERAB2,9,NA
A5,2006,2006,11,BAMU,1,NA
A5,2006,2006,11,BOBA2,1,NA
A5,2006,2006,11,CHAMA15,21,NA
A5,2006,2006,11,CRYPT,2,NA
A5,2006,2006,11,NAHI,4,NA
A5,2006,2006,11,POPI3,1,NA
A5,2006,2006,11,TILA2,1,NA
A5,2011,2011,11,TILA2,1,NA
AR1,1926,1926,9,ARAD,1,NA
AR1,1926,1926,9,MUSQ3,2,NA
AR1,1927,1927,9,PORTU,7,NA
AR1,1933,1933,10,ARAD,4,NA
AR1,1933,1933,10,LIAU4,1,NA
AR1,1934,1934,11,ARAD,17,NA
AR1,1934,1934,11,PORTU,3,NA
AR1,1935,1935,10,DIWI2,1,NA
AR1,1935,1935,10,LIAU4,2,NA
AR1,1935,1935,10,MOCE,2,NA
AR1,1935,1935,10,NAHI,1,NA
AR1,1935,1935,10,TILA2,1,NA
AR1,1936,1936,10,MOCE,11,NA
AR1,1936,1936,10,PORTU,8,NA
AR1,1936,1936,10,TILA2,2,NA
AR1,1937,1937,10,COAM8,9,NA
AR1,1937,1937,10,DIWI2,2,NA
AR1,1937,1937,10,LIAU4,1,NA
AR1,1937,1937,10,MOCE,1,NA
AR1,1937,1937,10,PORTU,2,NA
AR1,1938,1938,9,BAMU,10,NA
AR1,1938,1938,9,PORTU,6,NA
AR1,1939,1940,1,BAMU,42,NA
AR1,1939,1940,1,LIAU4,1,NA
AR1,1940,1941,2,BAMU,13,NA
AR1,1941,1942,1,BAMU,6,NA
AR1,1941,1942,1,DIWI2,1,NA
AR1,1941,1942,1,NAHI,1,NA
AR1,1941,1942,1,TILA2,1,NA
AR1,1942,1942,10,BAMU,5,NA
AR1,1942,1942,10,CHIN2,7,NA
AR1,1944,1945,3,CHIN2,6,NA
AR1,1944,1945,3,DIWI2,1,NA
AR1,1949,1949,9,BAMU,1,NA
AR1,1949,1949,9,BOSP,11,NA
AR1,1949,1949,9,PAHI5,2,NA
AR1,1949,1949,9,PORTU,4,NA
AR1,1949,1949,9,TILA2,2,NA
AR1,1953,1953,9,PAHI5,1,NA
AR1,1953,1953,9,PORTU,6,NA
AR1,1958,1958,9,SATR12,13,NA
AR1,1959,1959,9,CHIN2,3,NA
AR1,1959,1959,9,DIWI2,1,NA
AR1,1968,1968,8,AMRE,6,NA
AR1,1968,1968,8,PORTU,919,NA
AR1,2006,2006,11,CRYPT,3,NA
AR1,2006,2006,11,DEPI,50,1
AR2,1926,1926,9,CRCR3,3,NA
AR2,1931,1931,9,HECO5,1,NA
AR2,1934,1934,11,ARAD,7,NA
AR2,1934,1934,11,BOSP,2,NA
AR2,1935,1935,10,DIWI2,1,NA
AR2,1935,1935,10,MOCE,5,NA
AR2,1935,1935,10,NAHI,5,NA
AR2,1935,1935,10,PORTU,1,NA
AR2,1935,1935,10,TILA2,1,NA
AR2,1936,1936,10,BOSP,1,NA
AR2,1936,1936,10,DIWI2,2,NA
AR2,1936,1936,10,TILA2,1,NA
AR2,1937,1937,10,DIWI2,5,NA
AR2,1937,1937,10,LIAU4,2,NA
AR2,1937,1937,10,MOCE,5,NA
AR2,1937,1937,10,NAHI,1,NA
AR2,1937,1937,10,PORTU,1,NA
AR2,1937,1937,10,TILA2,4,NA
AR2,1938,1938,9,BAMU,4,NA
AR2,1938,1938,9,DIWI2,1,NA
AR2,1938,1938,9,PORTU,3,NA
AR2,1939,1940,1,BAMU,11,NA
AR2,1940,1941,2,BAMU,2,NA
AR2,1941,1942,1,BAMU,2,NA
AR2,1941,1942,1,NAHI,10,NA
AR2,1942,1942,10,BAMU,6,NA
AR2,1944,1945,3,CHIN2,2,NA
AR2,1952,1952,9,COAM8,2,NA
AR2,1954,1954,12,DIWI2,1,NA
AR2,1955,1955,9,BAMU,3,NA
AR2,1955,1955,9,DIWI2,1,NA
AR2,1957,1957,8,SATR12,1,NA
AR2,1958,1958,9,SATR12,19,NA
AR2,1959,1959,9,BAMU,1,NA
AR2,1959,1959,9,CHIN2,14,NA
AR2,1968,1968,8,AMRE,14,NA
AR2,1968,1968,8,PORTU,237,NA
AR2,2006,2006,11,BAMU,1,NA
AR2,2006,2006,11,DEPI,3,NA
AR3,1926,1926,9,ARAD,2,NA
AR3,1929,1929,9,BAMU,2,NA
AR3,1931,1931,9,TILA2,3,NA
AR3,1934,1934,10,BAMU,1,NA
AR3,1934,1934,10,BOSP,1,NA
AR3,1934,1934,10,TILA2,1,NA
AR3,1935,1935,7,DIWI2,1,NA
AR3,1935,1935,10,BOSP,2,NA
AR3,1935,1935,10,DIWI2,1,NA
AR3,1935,1935,10,MOCE,12,NA
AR3,1935,1935,10,NAHI,2,NA
AR3,1936,1936,10,BOSP,5,NA
AR3,1936,1936,10,DIWI2,7,NA
AR3,1936,1936,10,PORTU,1,NA
AR3,1936,1936,10,TILA2,2,NA
AR3,1937,1937,10,BOSP,2,NA
AR3,1937,1937,10,COAM8,1,NA
AR3,1937,1937,10,DIWI2,4,NA
AR3,1937,1937,10,LIAU4,3,NA
AR3,1937,1937,10,MOCE,5,NA
AR3,1937,1937,10,NAHI,10,NA
AR3,1937,1937,10,PAHI5,1,NA
AR3,1938,1938,9,BAMU,9,NA
AR3,1938,1938,9,BOSP,2,NA
AR3,1939,1940,1,BAMU,24,NA
AR3,1939,1940,1,LIAU4,2,NA
AR3,1940,1941,2,BAMU,2,NA
AR3,1942,1942,10,BAMU,10,NA
AR3,1942,1942,10,LIAU4,2,NA
AR3,1944,1945,3,ASNU4,4,NA
AR3,1946,1946,12,CHIN2,9,NA
AR3,1946,1946,12,DIWI2,1,NA
AR3,1949,1949,9,BOSP,3,NA
AR3,1950,1950,11,BOSP,18,NA
AR3,1952,1952,9,TILA2,1,NA
AR3,1953,1953,9,BOSP,1,NA
AR3,1953,1953,9,SATR12,1,NA
AR3,1955,1955,9,BAMU,2,NA
AR3,1958,1958,9,BAMU,1,NA
AR3,1958,1958,9,SATR12,9,NA
AR3,1959,1959,9,CHIN2,10,NA
AR3,1968,1968,8,AMRE,3,NA
AR3,1968,1968,8,PORTU,47,NA
AR3,1972,1972,8,AMRE,2,NA
AR3,1972,1972,8,PORTU,11,NA
AR3,1977,1977,7,BAMU,4,NA
AR3,1995,1995,10,DIWI2,3,NA
AR3,1995,1995,10,LIAU4,1,NA
AR3,2006,2006,11,MOCE,2,NA
AR3,2006,2006,11,NAHI,2,NA
AR4,1926,1926,9,BOSP,1,NA
AR4,1926,1926,9,DIWI2,1,NA
AR4,1927,1927,9,NAHI,17,NA
AR4,1933,1933,10,HYFL,1,NA
AR4,1934,1934,11,BAMU,1,NA
AR4,1935,1935,5,NAHI,2,NA
AR4,1935,1935,10,DIWI2,2,NA
AR4,1935,1935,10,HYFL,1,NA
AR4,1935,1935,10,LIAU4,1,NA
AR4,1935,1935,10,MOCE,3,NA
AR4,1935,1935,10,MUSQ3,1,NA
AR4,1935,1935,10,PORTU,3,NA
AR4,1935,1935,10,TILA2,2,NA
AR4,1936,1936,10,APRA,1,NA
AR4,1936,1936,10,ARAD,6,NA
AR4,1936,1936,10,BAMU,6,NA
AR4,1936,1936,10,HYFL,1,NA
AR4,1936,1936,10,MUSQ3,3,NA
AR4,1936,1936,10,PORTU,4,NA
AR4,1936,1936,10,TILA2,4,NA
AR4,1937,1937,10,ARAD,3,NA
AR4,1937,1937,10,BOSP,2,NA
AR4,1937,1937,10,MUSQ3,7,NA
AR4,1937,1937,10,NAHI,1,NA
AR4,1937,1937,10,PAHI5,2,NA
AR4,1937,1937,10,PORTU,4,NA
AR4,1937,1937,10,TILA2,3,NA
AR4,1938,1938,9,ARAD,7,NA
AR4,1938,1938,9,ASNU4,3,NA
AR4,1938,1938,9,BOSP,2,NA
AR4,1938,1938,9,PAHI5,1,NA
AR4,1939,1940,1,BAMU,2,NA
AR4,1940,1941,2,LIAU4,1,NA
AR4,1941,1942,1,BAMU,2,NA
AR4,1941,1942,1,HYFL,1,NA
AR4,1941,1942,1,LIAU4,9,NA
AR4,1942,1942,10,APRA,2,NA
AR4,1942,1942,10,BAMU,1,NA
AR4,1942,1942,10,HYFL,3,NA
AR4,1942,1942,10,LIAU4,5,NA
AR4,1942,1942,10,PAHI5,2,NA
AR4,1943,1943,11,PAHI5,1,NA
AR4,1944,1945,3,DIWI2,2,NA
AR4,1944,1945,3,NAHI,16,NA
AR4,1945,1945,9,BAMU,2,NA
AR4,1945,1945,9,HYFL,1,NA
AR4,1949,1949,9,BAMU,1,NA
AR4,1949,1949,9,COAM8,1,NA
AR4,1949,1949,9,GUSP,1,NA
AR4,1950,1950,11,BOSP,1,NA
AR4,1951,1951,8,PAHI5,2,NA
AR4,1952,1952,9,BOSP,8,NA
AR4,1955,1955,9,LIAU4,2,NA
AR4,1955,1955,9,SATR12,3,NA
AR4,1958,1958,9,SATR12,7,NA
AR4,1968,1968,8,COAM8,68,NA
AR4,1969,1969,9,AMRE,3,NA
AR4,1969,1969,9,PORTU,18,NA
AR4,2006,2006,11,BAMU,1,NA
AR4,2006,2006,11,CRYPT,3,NA
AR4,2006,2006,11,DEPI,50,1
AR4,2006,2006,11,DIWI2,1,NA
AR4,2006,2006,11,NAHI,3,NA
AR4,2006,2006,11,UNKAF,50,1
AR5,1926,1926,9,ARAD,2,NA
AR5,1926,1926,9,BOSP,4,NA
AR5,1926,1926,9,CRCR3,12,NA
AR5,1926,1926,9,DIWI2,14,NA
AR5,1926,1926,9,LIAU4,2,NA
AR5,1926,1926,9,MUSQ3,1,NA
AR5,1926,1926,9,NAHI,2,NA
AR5,1931,1931,9,HECO5,2,NA
AR5,1932,1932,10,BAMU,1,NA
AR5,1933,1933,10,HYFL,1,NA
AR5,1934,1934,11,BAMU,3,NA
AR5,1935,1935,5,HYFL,2,NA
AR5,1935,1935,5,NAHI,2,NA
AR5,1935,1935,10,BAMU,1,NA
AR5,1935,1935,10,DIWI2,1,NA
AR5,1935,1935,10,HYFL,12,NA
AR5,1935,1935,10,LIAU4,3,NA
AR5,1935,1935,10,PAHI5,1,NA
AR5,1936,1936,10,APRA,2,NA
AR5,1936,1936,10,ARAD,2,NA
AR5,1936,1936,10,BAMU,1,NA
AR5,1936,1936,10,HYFL,5,NA
AR5,1936,1936,10,MUSQ3,2,NA
AR5,1937,1937,10,APRA,1,NA
AR5,1937,1937,10,BAMU,4,NA
AR5,1937,1937,10,DIWI2,4,NA
AR5,1937,1937,10,HECO5,1,NA
AR5,1937,1937,10,HYFL,1,NA
AR5,1937,1937,10,PAHI5,1,NA
AR5,1937,1937,10,TILA2,1,NA
AR5,1937,1937,10,TRTE,1,NA
AR5,1938,1938,9,BAMU,2,NA
AR5,1938,1938,9,DIWI2,2,NA
AR5,1938,1938,9,MUSQ3,4,NA
AR5,1939,1940,1,BAMU,11,NA
AR5,1939,1940,1,LIAU4,2,NA
AR5,1940,1941,2,BAMU,1,NA
AR5,1941,1942,1,BAMU,1,NA
AR5,1941,1942,1,LIAU4,17,NA
AR5,1942,1942,10,BAMU,14,NA
AR5,1942,1942,10,HYFL,3,NA
AR5,1942,1942,10,LIAU4,9,NA
AR5,1943,1943,11,BOSP,1,NA
AR5,1944,1945,3,CHIN2,30,NA
AR5,1944,1945,3,DIWI2,2,NA
AR5,1945,1945,9,BAMU,9,NA
AR5,1946,1946,12,DIWI2,2,NA
AR5,1947,1947,9,DIWI2,1,NA
AR5,1947,1947,9,HYFL,1,NA
AR5,1947,1947,9,LIAU4,3,NA
AR5,1949,1949,9,GUSP,3,NA
AR5,1949,1949,9,TILA2,2,NA
AR5,1950,1950,11,BOSP,1,NA
AR5,1952,1952,9,BOSP,4,NA
AR5,1953,1953,9,COAM8,1,NA
AR5,1955,1955,9,BAMU,2,NA
AR5,1955,1955,9,SATR12,1,NA
AR5,1958,1958,9,BAMU,2,NA
AR5,1958,1958,9,SATR12,2,NA
AR5,2006,2006,11,DEPI,50,1
AR6,1926,1926,9,ARAD,2,NA
AR6,1926,1926,9,BAMU,1,NA
AR6,1926,1926,9,BOSP,2,NA
AR6,1926,1926,9,CRCR3,13,NA
AR6,1926,1926,9,DIWI2,18,NA
AR6,1926,1926,9,NAHI,5,NA
AR6,1926,1926,9,PORTU,1,NA
AR6,1927,1927,9,BAMU,1,NA
AR6,1929,1929,9,BAMU,2,NA
AR6,1931,1931,9,HECO5,1,NA
AR6,1933,1933,10,HYFL,5,NA
AR6,1934,1934,11,BAMU,1,NA
AR6,1934,1934,11,DIWI2,2,NA
AR6,1935,1935,5,HOHU,1,NA
