Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Lamprophiidae,Lycodonomorphus subtaeniatus,101,,,roundish,non-fanged,unclear toxicity,,Lined Water Snake
Lamprophiidae,Lycodonomorphus whytii,66,,,,non-fanged,unclear toxicity,,Whyte's Water Snake
Pseudoxyrhophiidae,Lycodryas citrinus,71,,,,rear-fanged,unclear toxicity,,Yellow and Black Tree Snake
Pseudoxyrhophiidae,Lycodryas cococola,,,,roundish,rear-fanged,unclear toxicity,,Western Comoran Tree Snake
Pseudoxyrhophiidae,Lycodryas gaimardi,83,,,,rear-fanged,unclear toxicity,,Northeastern Tree Snake
Pseudoxyrhophiidae,Lycodryas granuliceps,110,,,,rear-fanged,unclear toxicity,,Nosy Bé Tree Snake
Pseudoxyrhophiidae,Lycodryas guentheri,52,,,,rear-fanged,unclear toxicity,,Collared Tree Snake
Pseudoxyrhophiidae,Lycodryas inopinae,62,,,,rear-fanged,unclear toxicity,,Antsiranana Tree Snake
Pseudoxyrhophiidae,Lycodryas inornatus,65,,,,rear-fanged,unclear toxicity,,Plain Tree Snake
Pseudoxyrhophiidae,Lycodryas maculatus,96,,,vertical slit,rear-fanged,unclear toxicity,,Spotted Tree Snake
Pseudoxyrhophiidae,Lycodryas pseudogranuliceps,73,,,,rear-fanged,unclear toxicity,,Ampijoroa Tree Snake
Colubridae,Lycognathophis seychellensis,124,,,vertical slit,rear-fanged,unclear toxicity,,Seychelles Wolf Snake
Lamprophiidae,Lycophidion acutirostre,31,,,vertical slit,non-fanged,unclear toxicity,,Mozambique Wolf Snake
Lamprophiidae,Lycophidion albomaculatum,65,,,vertical slit,non-fanged,unclear toxicity,,wolf snake
Lamprophiidae,Lycophidion capense,70,10.8,,vertical slit,non-fanged,non-venomous,oviparous,Cape Wolf Snake
Lamprophiidae,Lycophidion chirioi,,,,vertical slit,,,,
Lamprophiidae,Lycophidion depressirostre,49.2,,,vertical slit,non-fanged,unclear toxicity,,Flat snouted Wolf Snake
Lamprophiidae,Lycophidion hellmichi,47,,,vertical slit,non-fanged,unclear toxicity,,Hellmich's Wolf Snake
Lamprophiidae,Lycophidion irroratum,49,,,vertical slit,non-fanged,unclear toxicity,oviparous,Leach's Wolf Snake
Lamprophiidae,Lycophidion jacksoni,,,,vertical slit,,,,
Lamprophiidae,Lycophidion laterale,50,,,vertical slit,non-fanged,unclear toxicity,oviparous,Flat Wolf Snake
Lamprophiidae,Lycophidion meleagre,44,,,vertical slit,non-fanged,unclear toxicity,,Speckled wolf snake
Lamprophiidae,Lycophidion multimaculatum,40,,,vertical slit,non-fanged,unclear toxicity,,Cape Wolf Snake
Lamprophiidae,Lycophidion namibianum,59,,,vertical slit,non-fanged,unclear toxicity,,Namibian Wolf Snake
Lamprophiidae,Lycophidion nanum,27,,,vertical slit,non-fanged,unclear toxicity,,Dwarf Wolf Snake
Lamprophiidae,Lycophidion nigromaculatum,50,,,vertical slit,non-fanged,unclear toxicity,,Blotched Wolf Snake
Lamprophiidae,Lycophidion ornatum,59,,,vertical slit,non-fanged,unclear toxicity,,Ornate Wolf Snake
Lamprophiidae,Lycophidion pembanum,,,,vertical slit,non-fanged,unclear toxicity,,Pemba Wolf Snake
Lamprophiidae,Lycophidion pygmaeum,29,,,vertical slit,non-fanged,unclear toxicity,,Pygmy Wolf Snake
Lamprophiidae,Lycophidion semiannule,34,,,vertical slit,non-fanged,unclear toxicity,,Eastern Wolf Snake
Lamprophiidae,Lycophidion semicinctum,79,,,vertical slit,non-fanged,unclear toxicity,,Semi annulated Wolf Snake
Lamprophiidae,Lycophidion taylori,51,,,vertical slit,non-fanged,unclear toxicity,,Taylor’s wolf snake
Lamprophiidae,Lycophidion tchadensis,,,,vertical slit,,,,
Lamprophiidae,Lycophidion uzungwense,61,,,vertical slit,non-fanged,unclear toxicity,,Red snouted Wolf Snake
Lamprophiidae,Lycophidion variegatum,43,,,vertical slit,non-fanged,unclear toxicity,,Variegated Wolf Snake
Colubridae,Lygophis anomalus,72,,,roundish,rear-fanged,unclear toxicity,,Culebra de Lineas Amarillas
Colubridae,Lygophis dilepis,81,,,roundish,rear-fanged,unclear toxicity,,Lema's Ground Snake
Colubridae,Lygophis elegantissimus,75,,,roundish,rear-fanged,unclear toxicity,,Sierra de la Ventana Snake
Colubridae,Lygophis flavifrenatus,76,,,roundish,rear-fanged,unclear toxicity,,Fronted Ground Snake
Colubridae,Lygophis lineatus,74,26.5,,roundish,rear-fanged,unclear toxicity,,Lined Ground Snake
Colubridae,Lygophis meridionalis,84,26,,roundish,rear-fanged,unclear toxicity,,Southern striped snake
Colubridae,Lygophis paucidens,68,20,,roundish,rear-fanged,unclear toxicity,,Hoge's Ground Snake
Colubridae,Lygophis vanzolinii,75,,,roundish,rear-fanged,unclear toxicity,,Vanzolini's Ground Snake
Colubridae,Lytorhynchus diadema,51,12.8,,"roundish,vertical slit",rear-fanged,unclear toxicity,oviparous,Crowned Leafnose Snake
Colubridae,Lytorhynchus gaddi,,,,roundish,,,,
Colubridae,Lytorhynchus gasperetti,38,,,roundish,rear-fanged,unclear toxicity,,Leviton's Leafnose Snake
Colubridae,Lytorhynchus kennedyi,42,,,roundish,rear-fanged,unclear toxicity,,Kennedy's Leafnose Snake
Colubridae,Lytorhynchus maynardi,45,,,roundish,rear-fanged,unclear toxicity,,Maynard's Longnose Sand Snake
Colubridae,Lytorhynchus paradoxus,39,,,roundish,rear-fanged,unclear toxicity,,Sind Longnose Sand Snake
Colubridae,Lytorhynchus ridgewayi,57,,,roundish,rear-fanged,unclear toxicity,,Derafshi Snake
Atractaspididae,Macrelaps microlepidotus,120,176.6,,roundish,rear-fanged,venomous bite – potentially dangerous,oviparous,Natal Black Snake
Colubridae,Macrocalamus chanardi,26,,,roundish,rear-fanged,unclear toxicity,,Chanard Mountain Reed Snake
Colubridae,Macrocalamus emas,,,,,,,,
Colubridae,Macrocalamus gentingensis,38,,,roundish,rear-fanged,unclear toxicity,,Genting Highlands Reed Snake
Colubridae,Macrocalamus jasoni,76,,,roundish,rear-fanged,unclear toxicity,,Jason's Mountain Reed Snake
Colubridae,Macrocalamus lateralis,40,,,roundish,rear-fanged,unclear toxicity,,Malayan Mountain Reed Snake
Colubridae,Macrocalamus schulzi,39,,,roundish,rear-fanged,unclear toxicity,,Schulz's Reed Snake
Colubridae,Macrocalamus tweediei,50,,,roundish,rear-fanged,unclear toxicity,,Tweedie's Mountain Reed Snake
Colubridae,Macrocalamus vogeli,19,,,roundish,rear-fanged,unclear toxicity,,Vogel's Reed Snake
Colubridae,Macroprotodon abubakeri,,,,,rear-fanged,unclear toxicity,,Oran False Smooth Snake
Colubridae,Macroprotodon brevis,60,,,roundish,rear-fanged,unclear toxicity,,Iberian False Smooth Snake
Colubridae,Macroprotodon cucullatus,65,16.6,,roundish,rear-fanged,venomous bite – potentially dangerous,oviparous,False Smooth Snake
Colubridae,Macroprotodon mauritanicus,66,,,roundish,rear-fanged,unclear toxicity,,Algerian False Smooth Snake
Viperidae,Macrovipera lebetinus,214,380,5.7,vertical slit,front-fanged,venomous bite – very dangerous,"oviparous, ovoviviparous",Levantine viper
Viperidae,Macrovipera razii,,,,,,,,
Pseudoxyrhophiidae,Madagascarophis colubrinus,106,,,vertical slit,rear-fanged,venomous bite – potentially dangerous,oviparous,Common Madagascar Cat Snake
Pseudoxyrhophiidae,Madagascarophis fuchsi,100,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Antsiranana Cat Snake
Pseudoxyrhophiidae,Madagascarophis lolo,,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Ghost snake
Pseudoxyrhophiidae,Madagascarophis meridionalis,87,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Karimbola Cat Snake
Pseudoxyrhophiidae,Madagascarophis ocellatus,83,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Ocellated Cat Snake
Typhlopidae,Madatyphlops albanalis,,,,vestigial eyes,non-fanged,non-venomous,,Rehndahl's blind snake
Typhlopidae,Madatyphlops andasibensis,,,,vestigial eyes,non-fanged,non-venomous,,Andasibe Blind Snake
Typhlopidae,Madatyphlops arenarius,22,,,vestigial eyes,non-fanged,non-venomous,,Sand Worm Snake
Typhlopidae,Madatyphlops boettgeri,,,,vestigial eyes,non-fanged,non-venomous,,Sand Worm Snake
Typhlopidae,Madatyphlops cariei,,,,vestigial eyes,non-fanged,non-venomous,,Hoffstetter's Worm Snake
Typhlopidae,Madatyphlops comorensis,,,,vestigial eyes,non-fanged,non-venomous,,Comoro Worm Snake
Typhlopidae,Madatyphlops decorsei,60,,,vestigial eyes,non-fanged,non-venomous,,Mocquard's Worm Snake
Typhlopidae,Madatyphlops domerguei,,,,vestigial eyes,non-fanged,non-venomous,,Domergue's blind snake
Typhlopidae,Madatyphlops eudelini,,,,vestigial eyes,,,,
Typhlopidae,Madatyphlops madagascariensis,,,,vestigial eyes,non-fanged,non-venomous,,Madagascar Worm Snake
Typhlopidae,Madatyphlops microcephalus,,,,vestigial eyes,non-fanged,non-venomous,,Small headed Blind Snake
Typhlopidae,Madatyphlops mucronatus,,,,vestigial eyes,non-fanged,non-venomous,,Boettger's Worm Snake
Typhlopidae,Madatyphlops ocularis,,,,vestigial eyes,non-fanged,non-venomous,,Parker's Worm Snake
Typhlopidae,Madatyphlops rajeryi,,,,vestigial eyes,non-fanged,non-venomous,,Southeast Madagascar Blind Snake
Typhlopidae,Madatyphlops reuteri,,,,vestigial eyes,non-fanged,non-venomous,,Reuters Blind Snake
Colubridae,Magliophis exiguus,70,,,roundish,rear-fanged,unclear toxicity,,Ground Snake
Colubridae,Magliophis stahli,,,,,rear-fanged,unclear toxicity,,Stahl's ground snake
Pythonidae,Malayopython reticulatus,710,158000,,vertical slit,non-fanged,non-venomous constrictor – extremely dangerous,oviparous,Reticulated Python
Pythonidae,Malayopython timoriensis,200,,,vertical slit,non-fanged,non-venomous constrictor – potentially dangerous,,Timor Python
Typhlopidae,Malayotyphlops andyi,,,,vestigial eyes,non-fanged,non-venomous,,Ross' blind snake
Typhlopidae,Malayotyphlops canlaonensis,,,,vestigial eyes,non-fanged,non-venomous,,Taylor's Worm Snake
Typhlopidae,Malayotyphlops castanotus,,,,vestigial eyes,non-fanged,non-venomous,,Wynn's Worm Snake
Typhlopidae,Malayotyphlops collaris,,,,vestigial eyes,non-fanged,non-venomous,,Collared Worm Snake
Typhlopidae,Malayotyphlops denrorum,,,,vestigial eyes,non-fanged,non-venomous,,Luzon island blind snake
Typhlopidae,Malayotyphlops hypogius,,,,vestigial eyes,non-fanged,non-venomous,,Cebu Island Worm Snake
Typhlopidae,Malayotyphlops koekkoeki,,,,vestigial eyes,non-fanged,non-venomous,,Boenjoe Island Worm Snake
Typhlopidae,Malayotyphlops kraalii,,,,vestigial eyes,non-fanged,non-venomous,,Kei Island Worm Snake
Typhlopidae,Malayotyphlops luzonensis,,,,vestigial eyes,non-fanged,non-venomous,,Luzon Worm Snake
Typhlopidae,Malayotyphlops manilae,,,,vestigial eyes,non-fanged,non-venomous,,Manila Worm Snake
Typhlopidae,Malayotyphlops ruber,,,,vestigial eyes,non-fanged,non-venomous,,Red Worm Snake
Typhlopidae,Malayotyphlops ruficauda,,,,vestigial eyes,non-fanged,non-venomous,,Red headed Worm Snake
Psammophiidae,Malpolon insignitus,180,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Eastern Montpellier Snake
Psammophiidae,Malpolon moilensis,190,8.1,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Moila Snake
Psammophiidae,Malpolon monspessulanus,207,3000,3.8,roundish,rear-fanged,venomous bite – potentially dangerous,oviparous,Montpellier Snake
Colubridae,Manolepis putnami,72,,,roundish,rear-fanged,unclear toxicity,,Ridgehead Snake
Colubridae,Masticophis anthonyi,145,,,roundish,rear-fanged,unclear toxicity,,Clarion Island Whip Snake
Colubridae,Masticophis aurigulus,147,,,roundish,rear-fanged,unclear toxicity,,Baja California Striped Whip Snake
Colubridae,Masticophis barbouri,,,,,rear-fanged,unclear toxicity,,Espiritu Santo striped whip snake
Colubridae,Masticophis bilineatus,170,,,roundish,rear-fanged,unclear toxicity,,Sonoran whip snake
Colubridae,Masticophis flagellum,259,475,,roundish,rear-fanged,unclear toxicity,oviparous,Coachwhip
Colubridae,Masticophis fuliginosus,,,,,rear-fanged,unclear toxicity,,Baja California Coachwhip
Colubridae,Masticophis lateralis,152,,,roundish,rear-fanged,unclear toxicity,,Striped Racer
Colubridae,Masticophis lineatus,,,,,,,,
Colubridae,Masticophis mentovarius,253,,,roundish,rear-fanged,unclear toxicity,,Neotropical Whip Snake
Colubridae,Masticophis piceus,,,,,,,,
Colubridae,Masticophis schotti,168,,,roundish,rear-fanged,unclear toxicity,,Schott's whip snake
Colubridae,Masticophis slevini,,,,,rear-fanged,unclear toxicity,,San Esteban Island whip snake
Colubridae,Masticophis taeniatus,183,,,roundish,rear-fanged,unclear toxicity,oviparous,Striped whip snake
Colubridae,Mastigodryas alternatus,,,,,rear-fanged,unclear toxicity,,Neotropical racer
Colubridae,Mastigodryas amarali,140,,,,rear-fanged,unclear toxicity,,Amaral's Tropical Racer
Colubridae,Mastigodryas boddaerti,120,,,roundish,rear-fanged,unclear toxicity,,Boddaert's Tropical Racer
Colubridae,Mastigodryas bruesi,122,,,roundish,rear-fanged,unclear toxicity,,Barbour's Tropical Racer
Colubridae,Mastigodryas cliftoni,198,,,roundish,rear-fanged,unclear toxicity,,Clifton’s Lizard Eater
Colubridae,Mastigodryas danieli,90,,,roundish,rear-fanged,unclear toxicity,,Daniel's Tropical Racer
Colubridae,Mastigodryas dorsalis,114,,,roundish,rear-fanged,unclear toxicity,,Striped Lizard Eater
Colubridae,Mastigodryas heathii,84,,,roundish,rear-fanged,unclear toxicity,,Heath's Tropical Racer
Colubridae,Mastigodryas melanolomus,135,,,roundish,rear-fanged,unclear toxicity,,Salmon bellied racer
Colubridae,Mastigodryas moratoi,,,,,rear-fanged,unclear toxicity,,Amazon Lizard Eater
Colubridae,Mastigodryas pleii,120,,,roundish,rear-fanged,unclear toxicity,,Plee's Tropical Racer
Colubridae,Mastigodryas pulchriceps,132,,,roundish,rear-fanged,unclear toxicity,,Cope's Tropical Racer
Colubridae,Mastigodryas reticulatus,,,,,rear-fanged,unclear toxicity,,Guayaquil Lizard Eater
Lamprophiidae,Mehelya egbensis,100,,,"indiscernible,roundish,vertical slit",non-fanged,unclear toxicity,,Dunger's File Snake
Lamprophiidae,Mehelya gabouensis,37,,,roundish,non-fanged,unclear toxicity,,Gabou File Snake
Lamprophiidae,Mehelya laurenti,47,,,,non-fanged,unclear toxicity,,Congo File Snake
Lamprophiidae,Mehelya poensis,138,,,"indiscernible,vertical slit",non-fanged,unclear toxicity,oviparous,Western Forest File Snake
Lamprophiidae,Mehelya stenophthalmus,80.2,,,,non-fanged,unclear toxicity,,Small eyed File Snake
Colubridae,Meizodon coronatus,69,,,roundish,rear-fanged,unclear toxicity,,Western Crowned Snake
Colubridae,Meizodon krameri,49,,,roundish,rear-fanged,unclear toxicity,,Tana Delta smooth snake
Colubridae,Meizodon plumbiceps,64,,,roundish,rear-fanged,unclear toxicity,,Black headed smooth snake
Colubridae,Meizodon regularis,72,,,roundish,rear-fanged,unclear toxicity,,Eastern crowned smooth snake
Colubridae,Meizodon semiornatus,77,,,roundish,rear-fanged,unclear toxicity,oviparous,Semiornate Smooth Snake
Uropeltidae,Melanophidium bilineatum,37,,,,non-fanged,non-venomous,,two lined black shieldtail
Uropeltidae,Melanophidium khairei,,,,indiscernible,non-fanged,non-venomous,,Khaire's black shieldtail
Uropeltidae,Melanophidium punctatum,,,,,non-fanged,non-venomous,,Beddome's black shieldtail
Uropeltidae,Melanophidium wynaudense,40.2,,,,non-fanged,non-venomous,,Indian black earth snake
Colubridae,Mesotes rutilus,70,21,,roundish,rear-fanged,unclear toxicity,,Prado's Coastal House Snake
Colubridae,Mesotes strigatus,70,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Coastal House Snake
Viperidae,Metlapilcoatlus borealis,,,,,,,,
Viperidae,Metlapilcoatlus indomitus,57.3,,6.5,,front-fanged,venomous bite – dangerous,,Honduras jumping pitviper
Viperidae,Metlapilcoatlus mexicanus,98,,,vertical slit,front-fanged,venomous bite – dangerous,,Mexican jumping pitviper
Viperidae,Metlapilcoatlus nummifer,76.2,,,vertical slit,front-fanged,venomous bite – dangerous,live birth (unspecific),Central American jumping pitviper
Viperidae,Metlapilcoatlus occiduus,80,,,,front-fanged,venomous bite – dangerous,ovoviviparous,Jumping Pit viper
Viperidae,Metlapilcoatlus olmec,80,,,,front-fanged,venomous bite – dangerous,,Olmecan pitviper
Micrelapidae,Micrelaps bicoloratus,32,,,,rear-fanged,venomous bite – unknown dangerousness,,Kenya Two headed Snake
Micrelapidae,Micrelaps muelleri,53,7.7,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Müller's snake
Micrelapidae,Micrelaps vaillanti,49,,,,rear-fanged,venomous bite – unknown dangerousness,,Somali Two headed Snake
Elapidae,Microcephalophis gracilis,122,,,roundish,front-fanged,venomous bite – very dangerous,ovoviviparous,Slender sea snake
Elapidae,Micropechis ikaheca,210,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,New Guinea small eyed snake
Pseudoxyrhophiidae,Micropisthodon ochraceus,85,,,roundish,non-fanged,unclear toxicity,,Chevron necked Snake
Elapidae,Micruroides euryxanthus,66,,1,roundish,front-fanged,venomous bite – very dangerous,oviparous,Sonoran coral snake
Elapidae,Micrurus albicinctus,58,,,roundish,front-fanged,venomous bite – very dangerous,,White banded Coral Snake
Elapidae,Micrurus alleni,130,,,roundish,front-fanged,venomous bite – very dangerous,,Allen's coral snake
Elapidae,Micrurus altirostris,131,,,roundish,front-fanged,venomous bite – very dangerous,,Uruguayan Coral Snake
Elapidae,Micrurus ancoralis,151,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Regal Coral Snake
Elapidae,Micrurus annellatus,73,,,roundish,front-fanged,venomous bite – very dangerous,,Annellated coral snake
Elapidae,Micrurus averyi,72,,,roundish,front-fanged,venomous bite – very dangerous,,Black headed Coral Snake
Elapidae,Micrurus baliocoryphus,145,,,roundish,front-fanged,venomous bite – very dangerous,,mesopotamian coral snake
Elapidae,Micrurus bocourti,82,,,roundish,front-fanged,venomous bite – very dangerous,,false triad coral snake
Elapidae,Micrurus bogerti,87,,,roundish,front-fanged,venomous bite – very dangerous,,Bogert's coral snake
Elapidae,Micrurus boicora,,,,,,,,
Elapidae,Micrurus brasiliensis,151,,,roundish,front-fanged,venomous bite – very dangerous,,coralillo brasileña
Elapidae,Micrurus browni,100,,,roundish,front-fanged,venomous bite – very dangerous,,Brown's coral snake
Elapidae,Micrurus camilae,45,,,roundish,front-fanged,venomous bite – very dangerous,,Camila's coral snake
Elapidae,Micrurus carvalhoi,,,,,,,,
Elapidae,Micrurus circinalis,54,,,roundish,front-fanged,venomous bite – very dangerous,,small coral snake
Elapidae,Micrurus clarki,92,,,roundish,front-fanged,venomous bite – very dangerous,,Clark's coral snake
Elapidae,Micrurus collaris,46,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Guyana blackback coral snake
Elapidae,Micrurus corallinus,99,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,painted coral snake
Elapidae,Micrurus decoratus,67,,,roundish,front-fanged,venomous bite – very dangerous,,Brazilian coral snake
Elapidae,Micrurus diana,101,,,roundish,front-fanged,venomous bite – very dangerous,,Diana's coral snake
Elapidae,Micrurus diastema,90,,,roundish,front-fanged,venomous bite – very dangerous,,variable coral snake
Elapidae,Micrurus dissoleucus,65,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Pygmy coral snake
Elapidae,Micrurus distans,108,,2.4,roundish,front-fanged,venomous bite – very dangerous,,West Mexican coral snake
Elapidae,Micrurus diutius,,,,,,,,
Elapidae,Micrurus dumerilii,95,,,roundish,front-fanged,venomous bite – very dangerous,,Dumeril's coral snake
Elapidae,Micrurus elegans,100,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,elegant coral snake
Elapidae,Micrurus ephippifer,93,,,roundish,front-fanged,venomous bite – very dangerous,,Oaxacan coral snake
Elapidae,Micrurus filiformis,96,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,slender coral snake
Elapidae,Micrurus frontalis,164,80,,roundish,front-fanged,venomous bite – very dangerous,oviparous,southern coral snake
Elapidae,Micrurus frontifasciatus,105,,,roundish,,,,
Elapidae,Micrurus fulvius,130,,2.7,roundish,front-fanged,venomous bite – very dangerous,oviparous,Eastern coral snake
Elapidae,Micrurus helleri,,,,,,,,
Elapidae,Micrurus hemprichii,92,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Hemprich's coral snake
Elapidae,Micrurus hippocrepis,91.4,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Mayan coral snake
Elapidae,Micrurus ibiboboca,133,48.5,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Caatinga coral snake
Elapidae,Micrurus isozonus,150,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Venezuela coral snake
Elapidae,Micrurus langsdorffi,85,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Langsdorff's coral snake
Elapidae,Micrurus laticollaris,80,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Balsas Coral Snake
Elapidae,Micrurus latifasciatus,114,,,roundish,front-fanged,venomous bite – very dangerous,,broad ringed coral snake
Elapidae,Micrurus lemniscatus,145,38.5,,roundish,front-fanged,venomous bite – very dangerous,oviparous,South American coral snake
Elapidae,Micrurus limbatus,74,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Tuxtlan coral snake
Elapidae,Micrurus margaritiferus,78,,,roundish,front-fanged,venomous bite – very dangerous,,Speckled coral snake
Elapidae,Micrurus medemi,70,,,roundish,front-fanged,venomous bite – very dangerous,,Medem's coral snake
Elapidae,Micrurus meridensis,40,,,roundish,front-fanged,venomous bite – very dangerous,,Merida coral snake
Elapidae,Micrurus mertensi,112,,,roundish,front-fanged,venomous bite – very dangerous,,Mertens' coral snake
Elapidae,Micrurus mipartitus,120,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,redtail coral snake
Elapidae,Micrurus mosquitensis,75,,,,front-fanged,venomous bite – very dangerous,,Costa Rican coral snake
Elapidae,Micrurus multifasciatus,113,,,roundish,front-fanged,venomous bite – very dangerous,,many banded coral snake
Elapidae,Micrurus multiscutatus,85,,,roundish,front-fanged,venomous bite – very dangerous,,Cauca coral snake
Elapidae,Micrurus narduccii,116,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Andean Blackback Coral Snake
Elapidae,Micrurus nattereri,130,,,,front-fanged,venomous bite – very dangerous,,Natterer’s Coral Snake
Elapidae,Micrurus nebularis,56,,,roundish,front-fanged,venomous bite – very dangerous,,cloud forest coral snake
Elapidae,Micrurus nigrocinctus,115,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Central American coral snake
Elapidae,Micrurus obscurus,120,,,,front-fanged,venomous bite – very dangerous,,Bolivian coral snake
Elapidae,Micrurus oligoanellatus,63,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Tambo coral snake
Elapidae,Micrurus ornatissimus,84,,,,front-fanged,venomous bite – very dangerous,oviparous,ornate coral snake
Elapidae,Micrurus pacaraimae,35.5,,,,front-fanged,venomous bite – very dangerous,,Pacaraima coral snake
Elapidae,Micrurus pachecogili,80,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Zapotitlán coral snake
Elapidae,Micrurus paraensis,53,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Para coral snake
Elapidae,Micrurus peruvianus,60,,,roundish,front-fanged,venomous bite – very dangerous,,Peru coral snake
Elapidae,Micrurus petersi,70,,,roundish,front-fanged,venomous bite – very dangerous,,Peters' Coral Snake
Elapidae,Micrurus potyguara,,,,,front-fanged,venomous bite – very dangerous,,Paraíba coral snake
Elapidae,Micrurus proximans,57,,,roundish,front-fanged,venomous bite – very dangerous,,Nayarit coral snake
Elapidae,Micrurus psyches,91,,,roundish,front-fanged,venomous bite – very dangerous,,Carib coral snake
Elapidae,Micrurus putumayensis,81,,,roundish,front-fanged,venomous bite – very dangerous,,Putumayo coral snake
Elapidae,Micrurus pyrrhocryptus,125,,,roundish,front-fanged,venomous bite – very dangerous,,Argentinean coral snake
Elapidae,Micrurus remotus,57,,,roundish,front-fanged,venomous bite – very dangerous,,Neblina coral snake
Elapidae,Micrurus renjifoi,43,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Ringed slender coral snake
Elapidae,Micrurus ruatanus,68,,,roundish,front-fanged,venomous bite – very dangerous,,Roatán coral snake
Elapidae,Micrurus sangilensis,60,,,roundish,front-fanged,venomous bite – very dangerous,,Santander coral snake
Elapidae,Micrurus scutiventris,45,,,roundish,front-fanged,venomous bite – very dangerous,,Pygmy slender coral snake
Elapidae,Micrurus serranus,82,,,roundish,front-fanged,venomous bite – very dangerous,,Bolivian coral snake
Elapidae,Micrurus silviae,151,,,roundish,front-fanged,venomous bite – very dangerous,,Silva's coral snake
Elapidae,Micrurus spixii,160,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Amazon coral snake
Elapidae,Micrurus spurrelli,63,,,roundish,front-fanged,venomous bite – very dangerous,,Colombian coral snake
Elapidae,Micrurus steindachneri,88,,,roundish,front-fanged,venomous bite – very dangerous,,Steindachner's coral snake
Elapidae,Micrurus stewarti,88,,,roundish,front-fanged,venomous bite – very dangerous,,Panamanian coral snake
Elapidae,Micrurus stuarti,75,,,roundish,front-fanged,venomous bite – very dangerous,,Stuart's coral snake
Elapidae,Micrurus surinamensis,135,,,roundish,front-fanged,venomous bite – very dangerous,oviparous,aquatic coral snake
Elapidae,Micrurus tener,122,33.8,,roundish,front-fanged,venomous bite – very dangerous,oviparous,Texas coral snake
Elapidae,Micrurus tikuna,,,,,front-fanged,venomous bite – very dangerous,,Tikuna coral snake
Elapidae,Micrurus tricolor,,,,,,,,
Elapidae,Micrurus tschudii,88,,,roundish,front-fanged,venomous bite – very dangerous,,desert coral snake
Psammophiidae,Mimophis mahfalensis,100,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Common Big eyed Snake
Psammophiidae,Mimophis occultus,,,,,rear-fanged,venomous bite – unknown dangerousness,,
Homalopsidae,Mintonophis pakistanicus,98.7,,,,rear-fanged,venomous bite – potentially dangerous,,Sind River Mud Snake
Homalopsidae,Miralia alternans,50,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Reuss' Mud Snake
Leptotyphlopidae,Mitophis asbolepis,,,,vestigial eyes,non-fanged,non-venomous,,black scaled worm snake
Leptotyphlopidae,Mitophis calypso,,,,vestigial eyes,non-fanged,non-venomous,,Samana thread snake
Leptotyphlopidae,Mitophis leptepileptus,,,,vestigial eyes,non-fanged,non-venomous,,Haitian border thread snake
Leptotyphlopidae,Mitophis pyrites,,,,vestigial eyes,non-fanged,non-venomous,,Thomas' Blind Snake
Viperidae,Mixcoatlus barbouri,60,,,vertical slit,front-fanged,venomous bite – dangerous,ovoviviparous,Barbour's montane pitviper
Viperidae,Mixcoatlus browni,48,,,vertical slit,front-fanged,venomous bite – dangerous,,Brown’s montane pitviper
Viperidae,Mixcoatlus melanurus,60,,,,front-fanged,venomous bite – dangerous,ovoviviparous,Mexican pitviper
Lamprophiidae,Montaspis gilvomaculata,33,,,roundish,rear-fanged,unclear toxicity,,Cream spotted Mountain Snake
Viperidae,Montatheris hindii,35,,,vertical slit,front-fanged,venomous bite – potentially dangerous,ovoviviparous,Kenya montane viper
