"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count (estimate)","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"AppLovin","APP","$341.83","$114,715,000,000","Sep 2024","$1,200,000,000","$4,800,000,000","38.64%","23.90","335,590,791","2021","2012","Adam Foroughi, Andrew Karam","Palo Alto, California, United States","$634,570,000","$2,538,280,000","105.95%","52.88%","$434,420,000","$1,737,680,000","299.87%","36.20%","$567,600,000","69.89%","KKR, Orient Hontai Capital","$2 billion","830","$5,783,100","Mobile advertising platform geared towards app developers to optimize their app listings and targeted ads.","","","http://www.applovin.com","http://investors.applovin.com","https://www.sec.gov/Archives/edgar/data/1751008/000119312521065782/d73804ds1.htm","https://www.sec.gov/Archives/edgar/data/1751008/000175100824000012/app-20231231.htm"
"AppTech Payments","APCX","$0.84","$23,000,000","Sep 2024","$43,000","$172,000","-69.29%","133.72","27,380,952","1999","2012","Eric Ottens, Luke D'Angelo","Las Vegas, Nevada, United States","-$1,600,000","-$6,400,000","42.13%","-3720.93%","-$2,020,000","-$8,080,000","29.96%","-4697.67%","$104,000","-58.57%","N/A","$1.5 million","30","$5,700","Mobile payments, with features like digital wallets and transaction processing.","","","http://www.apptechcorp.com","http://www.apptechcorp.com/departments/investor-relations/","https://www.sec.gov/Archives/edgar/data/1070050/000157570521000053/apcx_s1.htm","https://www.sec.gov/Archives/edgar/data/1070050/000168316824002017/apptech_i10k-123123.htm"
"Asana","ASAN","$21.98","$5,027,000,000","Oct 2024","$183,880,000","$735,520,000","10.44%","6.83","228,707,916","2020","2008","Dustin Moskovitz, Justin Rosenstein","San Francisco, California, United States","-$55,740,000","-$222,960,000","6.92%","-30.31%","-$57,330,000","-$229,320,000","7.16%","-31.18%","$455,310,000","-14.10%","Generation Investment Management, 8VC, Founders Fund","$213.2 million","1800","$408,600","Project management solution for task management, collaboration, and progress tracking.","","","http://www.asana.com","http://investors.asana.com","https://www.sec.gov/Archives/edgar/data/1477720/000119312520228462/d855753ds1.htm","https://www.sec.gov/Archives/edgar/data/1477720/000147772024000011/asan-20240131.htm"
"Asure Software","ASUR","$9.14","$243,000,000","Sep 2024","$29,300,000","$117,200,000","-0.10%","2.07","26,586,433","1992","1985","Pat Goepel","Austin, Texas, United States","$2,220,000","$8,880,000","-53.97%","7.58%","-$3,900,000","-$15,600,000","-76.84%","-13.31%","$11,250,000","-65.69%","Bessemer Venture Partners, Austin Ventures","$40 million","510","$229,800","Workforce management, including time and attendance tracking, scheduling, and workspace management.","","","http://www.asuresoftware.com","http://investor.asuresoftware.com","","https://www.sec.gov/Archives/edgar/data/884144/000088414424000022/asur-20231231.htm"
"Atlassian","TEAM","$257.49","$67,087,000,000","Sep 2024","$1,190,000,000","$4,760,000,000","21.48%","14.09","260,542,157","2015","2002","Mike Cannon-Brookes, Scott Farquhar","Sydney, Australia","-$9,150,000","-$36,600,000","-141.77%","-0.77%","-$123,770,000","-$495,080,000","-288.20%","-10.40%","$2,220,000,000","-2.21%","Accel Partners, T. Rowe Price, Dragoneer Investment Group","$210 million","11000","$432,700","Collaboration and productivity tools, including sub-brands Jira, Confluence, and Trello.","","","http://www.atlassian.com","http://investors.atlassian.com","","https://www.sec.gov/Archives/edgar/data/1650372/000165037224000036/team-20240630.htm"
"Autodesk","ADSK","$301.23","$64,764,000,000","Oct 2024","$1,570,000,000","$6,280,000,000","11.03%","10.31","214,998,506","1994","1982","John Walker, Dan Drake","San Rafael, California, United States","$367,000,000","$1,468,000,000","2.23%","23.38%","$275,000,000","$1,100,000,000","14.11%","17.52%","$1,710,000,000","-12.33%","Crosspoint Venture Partners, Sequoia Capital","$26 million","13900","$451,800","Design and engineering software for various industries, including architecture, engineering, construction, and manufacturing.","","","http://www.autodesk.com","http://investors.autodesk.com","","https://www.sec.gov/Archives/edgar/data/769397/000076939724000090/adsk-20240131.htm"
"Automatic Data Processing","ADP","$296.46","$120,795,000,000","Sep 2024","$4,830,000,000","$19,320,000,000","7.10%","6.25","407,458,004","1983","1949","Henry Taub, Joe Taub","Roseland, New Jersey, United States","$1,420,000,000","$5,680,000,000","12.00%","29.40%","$956,300,000","$3,825,200,000","11.28%","19.80%","$6,770,000,000","364.77%","Warburg Pincus, General Atlantic","N/A","64200","$300,900","Human resources solutions, including payroll, HR, time and attendance, and benefits administration.","","","http://www.adp.com","http://investors.adp.com","","https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm"
"AvePoint","AVPT","$17.80","$3,338,000,000","Sep 2024","$88,800,000","$355,200,000","22.05%","9.40","187,528,090","2019","2001","Tianyi Jiang, Kai Gong","Jersey City, New Jersey, United States","$9,050,000","$36,200,000","931.81%","10.19%","$2,620,000","$10,480,000","162.20%","2.95%","$249,980,000","19.45%","Ticonderoga Capital, Goldman Sachs, Summit Partners","$294 million","2250","$157,900","Software solutions on top of Microsoft Office 365 and SharePoint, including data management, governance, and data migration tools.","","","http://www.avepoint.com","http://ir.avepoint.com","https://www.sec.gov/Archives/edgar/data/1777921/000121390019016033/fs12019_apextechnology.htm","https://www.sec.gov/Archives/edgar/data/1777921/000143774924006145/avpt20231231_10k.htm"
"Aware","AWRE","$1.50","$32,000,000","Sep 2024","$3,850,000","$15,400,000","-39.68%","2.08","21,333,333","1996","1986","Edmund Reiter","Bedford, Massachusetts, United States","-$1,320,000","-$5,280,000","-1890.54%","-34.29%","-$1,170,000","-$4,680,000","-202.01%","-30.39%","$27,390,000","-0.48%","Venrock, Sigma Partners","$100 million","90","$171,100","Biometric authentication solutions, including face and voice recognition, for access management.","","","http://www.aware.com","http://www.aware.com/investor-relations/","","https://www.sec.gov/Archives/edgar/data/1015739/000095017024032239/awre-20231231.htm"
"Backblaze","BLZE","$6.37","$322,000,000","Sep 2024","$32,590,000","$130,360,000","28.82%","2.47","50,549,451","2021","2007","Gleb Budman, Brian Wilson","San Mateo, California, United States","-$6,770,000","-$27,080,000","32.20%","-20.77%","-$12,750,000","-$51,000,000","20.57%","-39.12%","$20,880,000","-29.81%","T. Rowe Price, Bessemer Venture Partners","$5.3 million","420","$310,400","Cloud backup and storage solution.","","","http://www.backblaze.com","http://ir.backblaze.com","https://www.sec.gov/Archives/edgar/data/1462056/000119312521301141/d62601ds1.htm","https://www.sec.gov/Archives/edgar/data/1462056/000146205624000033/blze-20231231.htm"
"Bentley Systems","BSY","$48.01","$14,507,000,000","Sep 2024","$335,170,000","$1,340,680,000","9.32%","10.82","302,166,215","2020","1984","Keith Bentley, Barry Bentley","Exton, Pennsylvania, United States","$87,120,000","$348,480,000","-7.46%","25.99%","$42,340,000","$169,360,000","-20.16%","12.63%","$72,180,000","7.78%","N/A","$1.05 billion","5140","$260,800","Platform for infrastructure design, construction, and operation. Its main features include 3D modeling, simulation, and collaboration tools.","","","http://www.bentley.com","http://investors.bentley.com","https://www.sec.gov/Archives/edgar/data/1031308/000089322002000491/w59294s-1.htm","https://www.sec.gov/Archives/edgar/data/1031308/000103130824000002/bsy-20231231.htm"
"Big Commerce","BIGC","$6.28","$492,000,000","Sep 2024","$83,710,000","$334,840,000","7.26%","1.47","78,343,949","2020","2009","Eddie Machaalani, Mitchell Harper","Austin, Texas, United States","-$5,520,000","-$22,080,000","54.77%","-6.59%","-$6,990,000","-$27,960,000","65.57%","-8.35%","$168,400,000","-36.54%","General Catalyst, GGV Capital, SoftBank","$415 million","1550","$216,000","E-commerce platform for online stores, with customizable web templates and widgets, payment processing, and inventory management.","","","http://www.bigcommerce.com","http://investors.bigcommerce.com","https://www.sec.gov/Archives/edgar/data/1626450/000119312520191966/d844671ds1.htm","https://www.sec.gov/Archives/edgar/data/1626450/000095017024022864/bigc-20231231.htm"
"BILL Holdings","BILL","$87.04","$9,008,000,000","Sep 2024","$358,450,000","$1,433,800,000","17.53%","6.28","103,492,647","2019","2006","René Lacerte","San Jose, California, United States","$12,410,000","$49,640,000","137.94%","3.46%","$8,910,000","$35,640,000","131.99%","2.49%","$1,470,000,000","-44.34%","Mastercard, Franklin Templeton, Bank of America","$345 million","2600","$551,500","Cloud-based software to streamline and automate accounts payable and accounts receivable processes","","","http://www.bill.com","http://investor.bill.com","https://www.sec.gov/Archives/edgar/data/1786352/000119312519293348/d710902ds1.htm","https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/bill-20240630.htm"
"Blackboxstocks","BLBX","$1.79","$6,000,000","Sep 2024","$647,840","$2,591,360","-11.07%","2.32","3,351,955","2015","2018","Todd M. Mitchell","Boca Raton, Florida, United States","-$731,630","-$2,926,520","14.74%","-112.93%","-$780,830","-$3,123,320","-16.24%","-120.53%","$60,920","-86.91%","N/A","$2.5 million.","17","$152,400","Real-time stock market data, alerts, and analysis for stock traders.","","","http://www.blackboxstocks.com","N/A","https://www.sec.gov/Archives/edgar/data/1567900/000143774921023307/blkbx20211001_s1.htm","https://www.sec.gov/Archives/edgar/data/1567900/000143774924010302/blkbx20231231_10k.htm"
"Blend Labs","BLND","$4.50","$1,152,000,000","Sep 2024","$45,180,000","$180,720,000","11.32%","6.37","256,000,000","2021","2012","Nima Ghamsari, Erin Collard, Rosco Hill","San Francisco, California, United States","-$6,470,000","-$25,880,000","75.55%","-14.32%","-$2,440,000","-$9,760,000","94.15%","-5.40%","$116,780,000","-52.33%","General Atlantic, Tiger Global Management, 8VC","$665 million","1580","$114,400","A digital lending platform for financial institutions geared towards the automation of the lending process.","","","http://www.blend.com","http://investor.blend.com","https://www.sec.gov/Archives/edgar/data/1855747/000119312521194971/d162671ds1.htm","https://www.sec.gov/Archives/edgar/data/1855747/000185574724000015/blnd-20231231.htm"
"Box","BOX","$32.02","$4,601,000,000","Oct 2024","$275,910,000","$1,103,640,000","5.50%","4.17","143,691,443","2015","2005","Aaron Levie, Dylan Smith","Redwood City, California, United States","$29,340,000","$117,360,000","13.31%","10.63%","$12,890,000","$51,560,000","20.99%","4.67%","$697,920,000","58.72%","Draper Fisher Jurvetson, U.S. Venture Partners, Scale Venture Partners","$547 million","2560","$431,100","Content management and file sharing platform for file storage, access management, and collaboration.","","","http://www.box.com","http://www.boxinvestorrelations.com","https://www.sec.gov/Archives/edgar/data/1372612/000119312514112417/d642425ds1.htm","https://www.sec.gov/Archives/edgar/data/1372612/000095017024029241/box-20240131.htm"
"Braze","BRZE","$43.60","$4,512,000,000","Oct 2024","$152,050,000","$608,200,000","22.67%","7.42","103,486,239","2021","2011","Jon Hyman, Mark Ghermezian, Bill Magnuson, and Jon Hyman","New York City, United States","-$30,730,000","-$122,920,000","7.97%","-20.21%","-$27,910,000","-$111,640,000","9.21%","-18.36%","$492,570,000","5.26%","Battery Ventures, ICONIQ Capital","$175 million","1540","$394,900","Customer engagament platform for personalized multi-channel messaging and targeted marketing campaigns.","","","http://www.braze.com","http://investors.braze.com","https://www.sec.gov/Archives/edgar/data/1676238/000119312521304909/d40379ds1.htm","https://www.sec.gov/Archives/edgar/data/1676238/000167623824000049/brze-20240131.htm"
"Bumble","BMBL","$7.92","$857,000,000","Sep 2024","$273,600,000","$1,094,400,000","-0.69%","0.78","108,207,071","2021","2014","Whitney Wolfe Herd","Austin, Texas, United States","$71,810,000","$287,240,000","36.50%","26.25%","-$613,200,000","-$2,452,800,000","-3778.24%","-224.12%","$252,060,000","-42.61%","Blackstone Group, Accel, Badoo Trading Limited","$2.2 billion","970","$1,128,200","Dating and social networking application that allows users to connect, chat, and form relationships.","","","http://www.bumble.com","http://ir.bumble.com","https://www.sec.gov/Archives/edgar/data/1830043/000119312521009745/d20761ds1.htm","https://www.sec.gov/Archives/edgar/data/1830043/000095017024022104/bmbl-20231231.htm"
"C3 AI","AI","$35.71","$4,609,000,000","Oct 2024","$94,340,000","$377,360,000","28.83%","12.21","129,067,488","2020","2009","Thomas M. Siebel","Redwood City, California, United States","-$72,320,000","-$289,280,000","5.14%","-76.66%","-$65,970,000","-$263,880,000","5.46%","-69.93%","$730,370,000","-4.18%","TPG, Breyer Capital, and Sutter Hill Ventures","$1.4 billion","930","$405,800","Enterprise AI software for developing and deploying AI applications for various industries.","","","http://www.c3.ai","http://ir.c3.ai","https://www.sec.gov/Archives/edgar/data/1577526/000162828020016443/c3ais-1.htm","https://www.sec.gov/Archives/edgar/data/1577526/000162828024028786/ai-20240430.htm"
"CCC Intelligent Solutions Holdings","CCCS","$11.89","$7,437,000,000","Sep 2024","$238,480,000","$953,920,000","7.84%","7.80","625,483,600","2021","1980","Frank Pope, David Marchese","Chicago, Illinois, United States","$56,990,000","$227,960,000","27.86%","23.90%","$2,810,000","$11,240,000","112.66%","1.18%","$286,300,000","-36.20%","N/A","N/A","2500","$381,600","Software solutions for automotive claims processing and related industries.","","","http://www.cccis.com","http://ir.cccis.com","https://www.sec.gov/Archives/edgar/data/1818201/000114036120016639/nt10013544x2_s1.htm","https://www.sec.gov/Archives/edgar/data/1818201/000095017024022253/cccs-20231231.htm"
"Certara","CERT","$10.70","$1,723,000,000","Sep 2024","$94,820,000","$379,280,000","10.80%","4.54","161,028,037","2020","2008","Mark L. Mathieu, Daniel Weiner","Princeton, New Jersey, United States","$23,180,000","$92,720,000","24.88%","24.45%","-$1,370,000","-$5,480,000","97.20%","-1.44%","$235,450,000","-15.37%","Vector Capital, Arsenal Capital Partners","$250 million","1200","$316,100","Drug development and regulatory science solutions for pharmaceutical companies to manage their drug development process.","","","http://www.certara.com","http://ir.certara.com","https://www.sec.gov/Archives/edgar/data/1827090/000110465920126924/tm2030105-7_s1.htm","https://www.sec.gov/Archives/edgar/data/1827090/000182709024000006/cert-20231231.htm"
"Check Point Software Technologies","CHKP","$189.65","$20,858,000,000","Sep 2024","$635,100,000","$2,540,400,000","6.51%","8.21","109,981,545","1996","1993","Gil Shwed, Marius Nacht, Shlomo Kramer","Tel Aviv, Israel","$231,300,000","$925,200,000","-0.69%","36.42%","$206,900,000","$827,600,000","0.93%","32.58%","$1,470,000,000","0.89%","N/A","N/A","5000","$508,100","Cybersecurity solutions including firewall and VPN software to protect networks and endpoints against cyber threats","","","http://www.checkpoint.com","http://www.checkpoint.com/about-us/investor-relations/","",""
"Clearwater Analytics","CWAN","$28.52","$6,998,000,000","Sep 2024","$115,830,000","$463,320,000","22.36%","15.10","245,371,669","2021","2003","Courtney McQuade, Michael Boren","Boise, Idaho, United States","$10,580,000","$42,320,000","410.09%","9.13%","$3,630,000","$14,520,000","292.11%","3.13%","$305,830,000","7.22%","Warburg Pincus, Permira","$175 million","1790","$258,800","Investment data management, reporting, and analytics platform for institutional investors.","","","http://www.clearwateranalytics.com","http://investors.clearwateranalytics.com","https://www.sec.gov/Archives/edgar/data/1866368/000119312521260325/d179113ds1.htm","https://www.sec.gov/Archives/edgar/data/1866368/000162828024007825/cwan-20231231.htm"
"Cloudflare","NET","$112.58","$38,637,000,000","Sep 2024","$430,080,000","$1,720,320,000","28.15%","22.46","343,195,950","2019","2009","Matthew Prince, Michelle Zatlyn, Lee Holloway","San Francisco, California, United States","-$5,380,000","-$21,520,000","46.97%","-1.25%","-$15,330,000","-$61,320,000","34.86%","-3.56%","$1,820,000,000","15.85%","New Enterprise Associates (NEA), Pelion Venture Partners, Venrock, Union Square Ventures","$332 million","3520","$488,700","Content delivery network (CDN), DDoS protection, and internet security mostly for SMBs.","","","http://www.cloudflare.com","http://www.cloudflare.net","https://www.sec.gov/Archives/edgar/data/1477333/000119312519222176/d735023ds1.htm","https://www.sec.gov/Archives/edgar/data/1477333/000147733324000013/cloud-20231231.htm"
"Cognyte Software","CGNT","$8.76","$630,000,000","Oct 2024","$89,000,000","$356,000,000","12.10%","1.77","71,917,808","2021","2019","Yuval Diskin, Ehud Schneorson","Herzliya, Israel","$1,050,000","$4,200,000","0.38%","1.18%","-$3,770,000","-$15,080,000","-172.22%","-4.24%","$101,770,000","46.75%","Advent International, Thoma Bravo","$80 million","1710","$208,200","Security analytics software for detection, investigation, and response to security threats in real-time.","","","http://www.cognyte.com","http://www.cognyte.com/investors/","",""
"Confluent","CFLT","$30.01","$9,843,000,000","Sep 2024","$250,200,000","$1,000,800,000","24.99%","9.84","327,990,670","2021","2014","Jay Kreps, Neha Narkhede, Jun Rao","Mountain View, California, United States","-$87,960,000","-$351,840,000","15.82%","-35.16%","-$74,140,000","-$296,560,000","19.99%","-29.63%","$1,860,000,000","-0.71%","Sequoia Capital, Index Ventures","$456 million","2850","$351,200","Real-time data processing and analytics including data integration, event streaming, and data management.","","","http://www.confluent.io","http://investors.confluent.io","https://www.sec.gov/Archives/edgar/data/1699838/000119312521178773/d63025ds1.htm","https://www.sec.gov/Archives/edgar/data/1699838/000095017024018036/cflt-20231231.htm"
"Couchbase","BASE","$15.50","$811,000,000","Oct 2024","$51,630,000","$206,520,000","12.69%","3.93","52,322,581","2021","2011","Damien Katz, J. Chris Anderson, Jan Lehnardt, Noah Slater, and Robert Newson","Mountain View, California, United States","-$18,480,000","-$73,920,000","-5.93%","-35.79%","-$18,150,000","-$72,600,000","-11.67%","-35.15%","$141,940,000","-9.38%","Accel Partners, Mayfield Fund, Sorenson Capital","$300 million","760","$271,700","NoSQL database","","","http://www.couchbase.com","http://investors.couchbase.com","https://www.sec.gov/Archives/edgar/data/1845022/000119312521194292/d73036ds1.htm","https://www.sec.gov/Archives/edgar/data/1845022/000184502224000020/base-20240131.htm"
"Coursera","COUR","$8.38","$1,327,000,000","Sep 2024","$176,090,000","$704,360,000","6.37%","1.88","158,353,222","2021","2012","Andrew Ng, Daphne Koller","Mountain View, California, United States","-$19,870,000","-$79,480,000","48.05%","-11.28%","-$13,690,000","-$54,760,000","57.34%","-7.77%","$719,440,000","-0.24%","Arctic Ventures, Black River Ventures","$130 million","1500","$469,600","Online courses and educational content in partnership with universities and organizations worldwide.","","","http://www.coursera.org","http://investor.coursera.com","https://www.sec.gov/Archives/edgar/data/1651562/000119312521071525/d65490ds1.htm","https://www.sec.gov/Archives/edgar/data/1651562/000165156224000012/cour-20231231.htm"
"CrowdStrike","CRWD","$365.79","$90,098,000,000","Oct 2024","$1,010,000,000","$4,040,000,000","28.52%","22.30","246,310,725","2019","2011","George Kurtz, Dmitri Alperovitch","Sunnyvale, California, United States","-$15,280,000","-$61,120,000","-147.60%","-1.51%","-$16,820,000","-$67,280,000","-163.09%","-1.67%","$4,260,000,000","34.55%","Accel, Warburg Pincus, CapitalG","$481 million","7880","$512,700","Cybersecurity platform for endpoint protection, threat intelligence, and incident response.","","","http://www.crowdstrike.com","http://ir.crowdstrike.com","https://www.sec.gov/Archives/edgar/data/1535527/000104746919003095/a2238800zs-1.htm","https://www.sec.gov/Archives/edgar/data/1535527/000153552724000007/crwd-20240131.htm"
"CS Disco","LAW","$5.08","$304,000,000","Sep 2024","$36,270,000","$145,080,000","3.79%","2.10","59,842,520","2021","2013","Kent Radford, Gabe Krambs","Houston, Texas, United States","-$9,740,000","-$38,960,000","-2.12%","-26.85%","-$9,160,000","-$36,640,000","-789.13%","-25.26%","$126,790,000","-19.57%","Sapphire Ventures, Bessemer Venture Partners","$235 million","690","$210,300","Application for legal professionals, offering eDiscovery and litigation support services.","","","http://www.csdisco.com","http://ir.csdisco.com","https://www.sec.gov/Archives/edgar/data/1625641/000119312521200525/d176601ds1.htm","https://www.sec.gov/Archives/edgar/data/1625641/000162564124000043/law-20231231.htm"
"CSG International","CSGS","$51.67","$1,503,000,000","Sep 2024","$295,140,000","$1,180,560,000","2.88%","1.27","29,088,446","1996","1982","Neal Hansen","Englewood, Colorado, United States","$50,590,000","$202,360,000","8.42%","17.14%","$19,090,000","$76,360,000","2.11%","6.47%","$118,440,000","-19.28%","Accel-KKR, Warburg Pincus","N/A","5920","$199,400","Revenue management, customer experience, and digital monetization.","","","http://www.csgi.com","http://ir.csgi.com","","https://www.sec.gov/Archives/edgar/data/1005757/000095017024016286/csgs-20231231.htm"
"CyberArk","CYBR","$320.61","$15,803,000,000","Sep 2024","$240,100,000","$960,400,000","25.55%","16.45","49,290,415","2014","1999","Udi Mokady, Alon N. Cohen, and Ehud Mokady","Newton, Massachusetts, United States","-$7,150,000","-$28,600,000","63.18%","-2.98%","$11,110,000","$44,440,000","176.05%","4.63%","$1,480,000,000","62.80%","JVP, Vertex Venture Capital, Jerusalem Venture Partners","$40 million","2870","$334,600","Cybersecurity solutions to protect against cyber threats and unauthorized accesses.","","","http://www.cyberark.com","http://investors.cyberark.com","",""
